subid,batch,maze,n_trials,mean_n_action,mean_n_hit,mean_hit_rate,mean_shortest_steps,mean_excess_steps,mean_path_efficiency,reached_goal_rate,optimal_by_length_rate,clean_optimal_rate,exact_short_path_rate,mean_total_rt,mean_rt,mean_first_rt,mean_rt_after_first
1351715250,2,1,200,11.765,0.99,0.068217,7.715,4.05,0.744059,1.0,0.27,0.27,0.27,8.118925,0.729077,2.86498,0.469206
1783603105,3,2,351,10.794872,1.91453,0.123431,6.401709,4.393162,0.71474,1.0,0.299145,0.299145,0.299145,8.31661,0.813756,3.679165,0.488172
13008956751,3,2,351,8.672365,0.774929,0.067718,6.239316,2.433048,0.806894,1.0,0.470085,0.470085,0.470085,8.482439,1.015716,3.104425,0.648759
13012045950,3,2,382,11.557592,2.094241,0.1395,6.353403,5.204188,0.656217,1.0,0.193717,0.193717,0.193717,15.107665,1.362399,5.362919,0.893952
13015195273,1,1,351,16.074074,4.159544,0.193044,7.811966,8.262108,0.614837,1.0,0.185185,0.185185,0.185185,9.500299,0.65384,2.130128,0.521333
13024201976,2,1,351,9.019943,0.339031,0.027929,7.843305,1.176638,0.913213,1.0,0.669516,0.669516,0.669516,20.39347,2.202916,12.26994,0.936657
13051262907,3,2,351,11.868946,2.60114,0.16554,6.435897,5.433048,0.655103,1.0,0.216524,0.216524,0.216524,6.54035,0.605054,1.794729,0.456828
13074255915,3,2,351,12.116809,2.82906,0.179044,6.490028,5.626781,0.65371,1.0,0.207977,0.207977,0.207977,7.033048,0.630708,1.938943,0.469462
13083889215,3,2,351,11.729345,2.475783,0.151051,6.450142,5.279202,0.676669,1.0,0.293447,0.293447,0.293447,9.482063,0.890049,2.605011,0.66602
13130819298,2,1,351,15.239316,3.507123,0.173222,7.606838,7.632479,0.637375,1.0,0.233618,0.233618,0.233618,12.876142,0.928922,5.286162,0.566217
13153447497,1,1,351,15.851852,4.159544,0.201403,7.646724,8.205128,0.607771,1.0,0.150997,0.150997,0.150997,9.727308,0.657229,3.430385,0.429103
13230980084,1,1,201,14.164179,2.442786,0.11886,7.492537,6.671642,0.640786,1.0,0.19403,0.19403,0.19403,7.837692,0.652062,2.394363,0.44067
13237095213,3,2,351,12.319088,3.025641,0.174833,6.307692,6.011396,0.64873,1.0,0.239316,0.239316,0.239316,13.665071,1.229135,6.402741,0.618373
13247876723,1,1,351,15.968661,4.253561,0.198678,7.749288,8.219373,0.61495,1.0,0.207977,0.207977,0.207977,7.784168,0.519926,1.205615,0.463518
