batch,day,task,block,replan,n_trial,n_decode_error,n_rt_bad,n_rt_aligned,n_trialset_bad,n_short_path_invalid,n_short_path_not_shortest,n_true_path_end_bad,n_hit_inconsistent,n_batch_conflict,n_post_goal_extra_action,n_post_goal_extra_hit
1,1,1,1,0,3838,0,0,0,0,0,0,0,0,0,0,0
1,1,2,2,0,3748,0,0,0,0,0,0,0,0,0,0,0
1,1,3,3,0,3927,0,0,0,0,0,0,0,0,0,0,0
1,1,4,4,0,3757,0,0,0,0,0,0,0,0,0,0,0
1,2,4,5,0,3407,0,0,0,0,0,0,0,0,0,0,0
1,2,4,6,0,3406,0,0,0,0,0,0,0,0,0,0,0
1,2,4,7,0,3350,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,0,2052,0,0,0,0,0,0,0,0,0,0,0
2,1,2,2,0,1998,0,0,0,0,0,0,0,0,0,0,0
2,1,3,3,0,2025,0,0,0,0,0,0,0,0,0,0,0
2,1,4,4,0,2022,0,0,0,0,0,0,0,0,0,0,0
2,2,4,5,0,1964,0,0,0,0,0,0,0,0,33,0,0
2,2,4,6,0,1908,0,0,0,0,0,0,0,0,0,0,0
2,2,4,7,0,1804,0,0,0,0,0,0,0,0,0,0,0
3,1,1,1,0,4751,0,0,0,0,0,0,0,0,0,0,0
3,1,2,2,0,4632,0,0,0,0,0,0,0,0,0,0,0
3,1,3,3,0,4741,0,0,0,0,0,0,0,0,0,0,0
3,1,4,4,0,4619,0,0,0,0,0,0,0,0,0,0,0
3,2,4,5,0,4497,0,0,0,0,0,0,0,0,0,0,0
3,2,4,6,0,4687,0,0,0,0,0,0,0,0,0,0,0
3,2,4,7,0,4471,0,0,0,1,0,0,1,1,0,0,0
