model,task,human_distance,human_similarity,length_w1_norm,excess_w1_norm,action_tv,turn_tv,revisit_abs,unique_abs,efficiency_abs,shortest_alignment_abs,progress_abs,hit_abs,reached_gap
context,1,7.071766,0.123889,1.013691,4.744902,0.043359,0.089709,0.15502,0.15502,0.212921,0.294622,0.204747,0.126688,0.25
context,2,3.256023,0.234961,0.651462,1.719888,0.042253,0.035489,0.155937,0.155937,0.206148,0.17848,0.206714,0.147191,0.076923
context,3,4.316476,0.188095,0.856422,2.323274,0.06326,0.049977,0.247904,0.247904,0.231563,0.183516,0.226077,0.248418,0.083333
context,4,3.671152,0.21408,0.959069,1.755518,0.025868,0.029253,0.060092,0.060092,0.089152,0.042308,0.10803,0.067105,0.32
hardmask_recovery,1,1.019331,0.495214,0.140796,0.622784,0.035912,0.01707,0.062349,0.062349,0.083069,0.022864,0.058995,0.037831,0.0
hardmask_recovery,2,1.056717,0.486212,0.195491,0.574697,0.04327,0.058255,0.01978,0.01978,0.036133,0.162769,0.029576,0.047738,0.0
hardmask_recovery,3,1.342641,0.426869,0.322943,0.828919,0.0417,0.024352,0.017244,0.017244,0.013913,0.060435,2.4e-05,0.028381,0.0
hardmask_recovery,4,1.828212,0.35358,0.325436,0.683493,0.038661,0.094321,0.159369,0.159369,0.066781,0.191517,0.028081,0.312998,0.14
old_minimal,1,3.894696,0.204303,0.65481,2.597518,0.023512,0.082053,0.0496,0.0496,0.049894,0.092202,0.039868,0.049259,0.166667
old_minimal,2,7.018706,0.124708,1.450423,3.844071,0.036055,0.029547,0.251412,0.251412,0.268556,0.147265,0.318393,0.200165,0.384615
old_minimal,3,5.234528,0.160397,0.984825,2.729701,0.078193,0.074053,0.266883,0.266883,0.243641,0.221581,0.24123,0.297038,0.25
old_minimal,4,4.410572,0.184823,1.131491,2.086358,0.014458,0.083621,0.077895,0.077895,0.067505,0.027007,0.112836,0.002739,0.44
rollout_soft,1,0.735746,0.576121,0.104348,0.461658,0.025298,0.022423,0.037812,0.037812,0.058763,0.00251,0.040642,0.009954,0.0
rollout_soft,2,3.853677,0.206029,0.812786,2.135621,0.034035,0.013565,0.187024,0.187024,0.219653,0.122249,0.199251,0.165424,0.076923
rollout_soft,3,2.679951,0.271743,0.572825,1.473187,0.07289,0.033599,0.124709,0.124709,0.14762,0.13806,0.135971,0.110329,0.0
rollout_soft,4,1.277733,0.439033,0.309747,0.612084,0.02486,0.031656,0.030449,0.030449,0.006494,0.032546,0.01205,0.095731,0.1
