model,task,human_distance,human_similarity,length_w1_norm,excess_w1_norm,action_tv,turn_tv,revisit_abs,unique_abs,efficiency_abs,shortest_alignment_abs,progress_abs,hit_abs,reached_gap
context,1,7.034535,0.124463,1.009716,4.712441,0.043359,0.089709,0.15502,0.15502,0.212921,0.294622,0.204747,0.126688,0.25
context,2,3.21717,0.237126,0.641418,1.693087,0.042253,0.035489,0.155937,0.155937,0.206148,0.17848,0.206714,0.147191,0.076923
context,3,4.29413,0.188888,0.852492,2.305644,0.06326,0.049977,0.247904,0.247904,0.231563,0.183516,0.226077,0.248418,0.083333
context,4,3.663078,0.214451,0.95623,1.750852,0.025868,0.029253,0.060092,0.060092,0.089152,0.042308,0.10803,0.067105,0.32
hardmask_recovery,1,1.02584,0.493622,0.142417,0.627347,0.035912,0.01707,0.062349,0.062349,0.083069,0.022864,0.058995,0.037831,0.0
hardmask_recovery,2,1.044942,0.489012,0.192926,0.566,0.04327,0.058255,0.01978,0.01978,0.036133,0.162769,0.029576,0.047738,0.0
hardmask_recovery,3,1.326931,0.429751,0.31811,0.819009,0.0417,0.024352,0.017244,0.017244,0.013913,0.060435,2.4e-05,0.028381,0.0
hardmask_recovery,4,1.818608,0.354785,0.322072,0.677926,0.038661,0.094321,0.159369,0.159369,0.066781,0.191517,0.028081,0.312998,0.14
human_mask_humanselect,1,0.762048,0.567521,0.151929,0.411581,0.042738,0.020638,0.045469,0.045469,0.033069,0.044312,0.017725,0.015926,0.0
human_mask_humanselect,2,2.023426,0.330751,0.394108,0.987906,0.021208,0.049233,0.130573,0.130573,0.190296,0.172219,0.172678,0.149795,0.0
human_mask_humanselect,3,5.646025,0.150466,1.239954,3.427709,0.070471,0.04263,0.126305,0.126305,0.265929,0.051073,0.261009,0.028381,0.083333
human_mask_humanselect,4,1.416496,0.413822,0.345889,0.670279,0.038124,0.041795,0.047848,0.047848,0.000668,0.05856,0.014885,0.135727,0.08
human_mask_rolloutselect,1,0.825906,0.547673,0.114738,0.512128,0.032738,0.010357,0.047071,0.047071,0.06918,0.007907,0.051058,0.020371,0.0
human_mask_rolloutselect,2,3.108313,0.243409,0.647199,1.671992,0.028798,0.014673,0.174122,0.174122,0.195964,0.023015,0.199713,0.150507,0.076923
human_mask_rolloutselect,3,3.87703,0.205043,0.854167,2.259941,0.072569,0.006848,0.082859,0.082859,0.089478,0.095865,0.090465,0.028381,0.166667
human_mask_rolloutselect,4,1.405534,0.415708,0.33104,0.643754,0.026813,0.022823,0.053589,0.053589,0.011278,0.092369,0.015275,0.1408,0.1
old_minimal,1,3.83618,0.206775,0.645254,2.550469,0.023512,0.082053,0.0496,0.0496,0.049894,0.092202,0.039868,0.049259,0.166667
old_minimal,2,7.000186,0.124997,1.445512,3.831444,0.036055,0.029547,0.251412,0.251412,0.268556,0.147265,0.318393,0.200165,0.384615
old_minimal,3,5.221323,0.160738,0.981756,2.720178,0.078193,0.074053,0.266883,0.266883,0.243641,0.221581,0.24123,0.297038,0.25
old_minimal,4,4.403629,0.185061,1.129038,2.082358,0.014458,0.083621,0.077895,0.077895,0.067505,0.027007,0.112836,0.002739,0.44
rollout_soft,1,0.742988,0.573727,0.105736,0.467234,0.025298,0.022423,0.037812,0.037812,0.058763,0.00251,0.040642,0.009954,0.0
rollout_soft,2,3.826448,0.207192,0.806569,2.115852,0.034035,0.013565,0.187024,0.187024,0.219653,0.122249,0.199251,0.165424,0.076923
rollout_soft,3,2.672545,0.272291,0.570578,1.468478,0.07289,0.033599,0.124709,0.124709,0.14762,0.13806,0.135971,0.110329,0.0
rollout_soft,4,1.26651,0.441207,0.305833,0.605558,0.02486,0.031656,0.030449,0.030449,0.006494,0.032546,0.01205,0.095731,0.1
