model,source_role,task,n_actions,shortest_steps,excess_steps,hit_rate,reached_goal,path_efficiency,revisit_rate,unique_state_fraction,action_entropy,left_frac,up_frac,right_frac,down_frac,straight_frac,turn_frac,reverse_frac,first_action_matches_shortest,shortest_action_alignment,mean_distance_delta,progress_action_frac,stall_action_frac,regress_action_frac
context,actual,1,9.583333,7.583333,2.0,0.037831,1.0,0.851455,0.0918,0.9082,0.817759,0.309854,0.274868,0.228108,0.187169,0.207564,0.74901,0.043425,0.916667,0.935215,0.700529,0.831349,0.037831,0.13082
context,actual,2,12.846154,8.0,4.846154,0.047738,1.0,0.725987,0.120661,0.879339,0.864428,0.231318,0.293085,0.279157,0.196441,0.182436,0.775108,0.042456,0.769231,0.712937,0.635311,0.793786,0.047738,0.158476
context,actual,3,11.333333,7.25,4.083333,0.028381,1.0,0.714811,0.098871,0.901129,0.825431,0.296549,0.242359,0.234069,0.227023,0.177283,0.760775,0.061942,0.5,0.727778,0.687033,0.829326,0.028381,0.142293
context,actual,4,17.9,8.02,9.88,0.312998,1.0,0.504644,0.353492,0.646508,0.820293,0.220626,0.288484,0.265633,0.225256,0.184839,0.769281,0.04588,0.46,0.536313,0.443062,0.565032,0.312998,0.12197
context,model,1,19.75,7.583333,12.166667,0.164519,0.75,0.638534,0.24682,0.75318,0.794233,0.266495,0.284935,0.251808,0.196762,0.157879,0.838719,0.003401,0.583333,0.640593,0.495782,0.665632,0.164519,0.169849
context,model,2,22.307692,8.0,14.307692,0.194929,0.923077,0.519839,0.276598,0.723402,0.860667,0.244559,0.268528,0.308169,0.178745,0.217925,0.746991,0.035084,0.615385,0.534457,0.428597,0.616834,0.194929,0.188237
context,model,3,21.416667,7.25,14.166667,0.276799,0.916667,0.483248,0.346775,0.653225,0.846882,0.253835,0.255335,0.284353,0.206477,0.212997,0.775038,0.011966,0.333333,0.544262,0.460956,0.592078,0.276799,0.131122
context,model,4,35.12,8.02,27.1,0.245893,0.68,0.415492,0.413584,0.586416,0.85197,0.219076,0.286338,0.291501,0.203085,0.186966,0.796407,0.016627,0.42,0.578621,0.335032,0.544569,0.245893,0.209538
hardmask_recovery,actual,1,9.583333,7.583333,2.0,0.037831,1.0,0.851455,0.0918,0.9082,0.817759,0.309854,0.274868,0.228108,0.187169,0.207564,0.74901,0.043425,0.916667,0.935215,0.700529,0.831349,0.037831,0.13082
hardmask_recovery,actual,2,12.846154,8.0,4.846154,0.047738,1.0,0.725987,0.120661,0.879339,0.864428,0.231318,0.293085,0.279157,0.196441,0.182436,0.775108,0.042456,0.769231,0.712937,0.635311,0.793786,0.047738,0.158476
hardmask_recovery,actual,3,11.333333,7.25,4.083333,0.028381,1.0,0.714811,0.098871,0.901129,0.825431,0.296549,0.242359,0.234069,0.227023,0.177283,0.760775,0.061942,0.5,0.727778,0.687033,0.829326,0.028381,0.142293
hardmask_recovery,actual,4,17.9,8.02,9.88,0.312998,1.0,0.504644,0.353492,0.646508,0.820293,0.220626,0.288484,0.265633,0.225256,0.184839,0.769281,0.04588,0.46,0.536313,0.443062,0.565032,0.312998,0.12197
hardmask_recovery,model,1,8.416667,7.583333,0.833333,0.0,1.0,0.934524,0.029451,0.970549,0.789266,0.324107,0.256647,0.210417,0.208829,0.224635,0.740923,0.034442,1.0,0.958079,0.759524,0.879762,0.0,0.120238
hardmask_recovery,model,2,15.538462,8.0,7.538462,0.0,1.0,0.689854,0.140441,0.859559,0.895636,0.232937,0.258921,0.320808,0.187334,0.219142,0.716853,0.064005,0.692308,0.875706,0.605735,0.802867,0.0,0.197133
hardmask_recovery,model,3,14.25,7.25,7.0,0.0,1.0,0.700898,0.081627,0.918373,0.811456,0.304856,0.275751,0.233073,0.186319,0.201635,0.7579,0.040464,0.416667,0.667343,0.687009,0.843505,0.0,0.156495
hardmask_recovery,model,4,22.14,8.02,14.12,0.0,0.86,0.571425,0.194123,0.805877,0.882028,0.232764,0.269608,0.292157,0.205472,0.239579,0.67496,0.085461,0.6,0.72783,0.471143,0.735571,0.0,0.264429
human_mask_humanselect,actual,1,9.583333,7.583333,2.0,0.037831,1.0,0.851455,0.0918,0.9082,0.817759,0.309854,0.274868,0.228108,0.187169,0.207564,0.74901,0.043425,0.916667,0.935215,0.700529,0.831349,0.037831,0.13082
human_mask_humanselect,actual,2,12.846154,8.0,4.846154,0.047738,1.0,0.725987,0.120661,0.879339,0.864428,0.231318,0.293085,0.279157,0.196441,0.182436,0.775108,0.042456,0.769231,0.712937,0.635311,0.793786,0.047738,0.158476
human_mask_humanselect,actual,3,11.333333,7.25,4.083333,0.028381,1.0,0.714811,0.098871,0.901129,0.825431,0.296549,0.242359,0.234069,0.227023,0.177283,0.760775,0.061942,0.5,0.727778,0.687033,0.829326,0.028381,0.142293
human_mask_humanselect,actual,4,17.9,8.02,9.88,0.312998,1.0,0.504644,0.353492,0.646508,0.820293,0.220626,0.288484,0.265633,0.225256,0.184839,0.769281,0.04588,0.46,0.536313,0.443062,0.565032,0.312998,0.12197
human_mask_humanselect,model,1,9.666667,7.583333,2.083333,0.021905,1.0,0.884524,0.046331,0.953669,0.797231,0.317282,0.253948,0.20629,0.22248,0.208439,0.768773,0.022787,0.916667,0.890903,0.718254,0.848175,0.021905,0.129921
human_mask_humanselect,model,2,18.076923,8.0,10.076923,0.197533,1.0,0.535691,0.251234,0.748766,0.877832,0.21011,0.305529,0.28338,0.200981,0.20262,0.725875,0.071505,0.307692,0.540718,0.462633,0.63255,0.197533,0.169917
human_mask_humanselect,model,3,25.5,7.25,18.25,0.0,0.916667,0.448882,0.225176,0.774824,0.877303,0.276829,0.31283,0.212703,0.197638,0.198504,0.718145,0.083352,0.5,0.676705,0.426024,0.713012,0.0,0.286988
human_mask_humanselect,model,4,23.6,8.02,15.58,0.177271,0.92,0.505312,0.305644,0.694356,0.874402,0.23439,0.250361,0.280882,0.234367,0.206541,0.727486,0.065973,0.44,0.594873,0.428177,0.625453,0.177271,0.197276
human_mask_rolloutselect,actual,1,9.583333,7.583333,2.0,0.037831,1.0,0.851455,0.0918,0.9082,0.817759,0.309854,0.274868,0.228108,0.187169,0.207564,0.74901,0.043425,0.916667,0.935215,0.700529,0.831349,0.037831,0.13082
human_mask_rolloutselect,actual,2,12.846154,8.0,4.846154,0.047738,1.0,0.725987,0.120661,0.879339,0.864428,0.231318,0.293085,0.279157,0.196441,0.182436,0.775108,0.042456,0.769231,0.712937,0.635311,0.793786,0.047738,0.158476
human_mask_rolloutselect,actual,3,11.333333,7.25,4.083333,0.028381,1.0,0.714811,0.098871,0.901129,0.825431,0.296549,0.242359,0.234069,0.227023,0.177283,0.760775,0.061942,0.5,0.727778,0.687033,0.829326,0.028381,0.142293
human_mask_rolloutselect,actual,4,17.9,8.02,9.88,0.312998,1.0,0.504644,0.353492,0.646508,0.820293,0.220626,0.288484,0.265633,0.225256,0.184839,0.769281,0.04588,0.46,0.536313,0.443062,0.565032,0.312998,0.12197
human_mask_rolloutselect,model,1,8.666667,7.583333,1.083333,0.01746,1.0,0.920635,0.044729,0.955271,0.788271,0.320337,0.260615,0.209623,0.209425,0.213355,0.753577,0.033069,1.0,0.943122,0.751587,0.867063,0.01746,0.115476
human_mask_rolloutselect,model,2,21.538462,8.0,13.538462,0.198245,0.923077,0.530023,0.294783,0.705217,0.863859,0.213167,0.299788,0.301251,0.185794,0.181597,0.761274,0.057129,0.538462,0.689922,0.435598,0.618677,0.198245,0.183078
human_mask_rolloutselect,model,3,20.75,7.25,13.5,0.0,0.833333,0.625333,0.18173,0.81827,0.829306,0.316396,0.295081,0.217974,0.170549,0.180004,0.753927,0.066069,0.416667,0.631913,0.596568,0.798284,0.0,0.201716
human_mask_rolloutselect,model,4,23.36,8.02,15.34,0.172198,0.9,0.515922,0.299903,0.700097,0.858741,0.236186,0.272024,0.276886,0.214904,0.197833,0.746459,0.055709,0.54,0.628682,0.427787,0.627795,0.172198,0.200007
old_minimal,actual,1,9.583333,7.583333,2.0,0.037831,1.0,0.851455,0.0918,0.9082,0.817759,0.309854,0.274868,0.228108,0.187169,0.207564,0.74901,0.043425,0.916667,0.935215,0.700529,0.831349,0.037831,0.13082
old_minimal,actual,2,12.846154,8.0,4.846154,0.047738,1.0,0.725987,0.120661,0.879339,0.864428,0.231318,0.293085,0.279157,0.196441,0.182436,0.775108,0.042456,0.769231,0.712937,0.635311,0.793786,0.047738,0.158476
old_minimal,actual,3,11.333333,7.25,4.083333,0.028381,1.0,0.714811,0.098871,0.901129,0.825431,0.296549,0.242359,0.234069,0.227023,0.177283,0.760775,0.061942,0.5,0.727778,0.687033,0.829326,0.028381,0.142293
old_minimal,actual,4,17.9,8.02,9.88,0.312998,1.0,0.504644,0.353492,0.646508,0.820293,0.220626,0.288484,0.265633,0.225256,0.184839,0.769281,0.04588,0.46,0.536313,0.443062,0.565032,0.312998,0.12197
old_minimal,model,1,15.166667,7.583333,7.583333,0.08709,0.833333,0.801561,0.1414,0.8586,0.79498,0.310291,0.251356,0.231263,0.20709,0.168937,0.831063,0.0,0.916667,0.843013,0.660661,0.786786,0.08709,0.126124
old_minimal,model,2,32.0,8.0,24.0,0.247903,0.615385,0.457431,0.372073,0.627927,0.838246,0.196931,0.29997,0.308326,0.194772,0.211983,0.77504,0.012977,0.615385,0.565672,0.316918,0.534508,0.247903,0.217589
old_minimal,model,3,22.916667,7.25,15.666667,0.325419,0.75,0.47117,0.365754,0.634246,0.809168,0.244991,0.257354,0.297267,0.200388,0.165172,0.834828,0.0,0.333333,0.506197,0.445803,0.560192,0.325419,0.114389
old_minimal,model,4,37.98,8.02,29.96,0.310259,0.56,0.437139,0.431387,0.568613,0.816822,0.235085,0.281685,0.26557,0.217661,0.13518,0.852902,0.011918,0.5,0.56332,0.330226,0.509983,0.310259,0.179758
rollout_soft,actual,1,9.583333,7.583333,2.0,0.037831,1.0,0.851455,0.0918,0.9082,0.817759,0.309854,0.274868,0.228108,0.187169,0.207564,0.74901,0.043425,0.916667,0.935215,0.700529,0.831349,0.037831,0.13082
rollout_soft,actual,2,12.846154,8.0,4.846154,0.047738,1.0,0.725987,0.120661,0.879339,0.864428,0.231318,0.293085,0.279157,0.196441,0.182436,0.775108,0.042456,0.769231,0.712937,0.635311,0.793786,0.047738,0.158476
rollout_soft,actual,3,11.333333,7.25,4.083333,0.028381,1.0,0.714811,0.098871,0.901129,0.825431,0.296549,0.242359,0.234069,0.227023,0.177283,0.760775,0.061942,0.5,0.727778,0.687033,0.829326,0.028381,0.142293
rollout_soft,actual,4,17.9,8.02,9.88,0.312998,1.0,0.504644,0.353492,0.646508,0.820293,0.220626,0.288484,0.265633,0.225256,0.184839,0.769281,0.04588,0.46,0.536313,0.443062,0.565032,0.312998,0.12197
rollout_soft,model,1,8.75,7.583333,1.166667,0.027877,1.0,0.910218,0.053988,0.946012,0.78939,0.314385,0.268056,0.209623,0.207937,0.195498,0.771434,0.033069,1.0,0.932705,0.741171,0.856647,0.027877,0.115476
rollout_soft,model,2,24.0,8.0,16.0,0.213162,0.923077,0.506334,0.307685,0.692315,0.863372,0.203042,0.287703,0.313191,0.196064,0.168872,0.781985,0.049144,0.461538,0.590688,0.43606,0.611449,0.213162,0.175389
rollout_soft,model,3,17.5,7.25,10.25,0.13871,1.0,0.567191,0.22358,0.77642,0.845294,0.271646,0.315249,0.233906,0.179199,0.168699,0.794374,0.036927,0.416667,0.589718,0.551062,0.706176,0.13871,0.155114
rollout_soft,model,4,22.88,8.02,14.86,0.217267,0.9,0.511138,0.323043,0.676957,0.84868,0.234672,0.266244,0.276448,0.222637,0.206123,0.737625,0.056251,0.46,0.568859,0.431012,0.606873,0.217267,0.17586
