model,task,human_distance,human_similarity,length_w1_norm,excess_w1_norm,action_tv,turn_tv,revisit_abs,unique_abs,efficiency_abs,shortest_alignment_abs,progress_abs,hit_abs,reached_gap
hardmask_recovery,1,1.019331,0.495214,0.140796,0.622784,0.035912,0.01707,0.062349,0.062349,0.083069,0.022864,0.058995,0.037831,0.0
hardmask_recovery,2,1.056717,0.486212,0.195491,0.574697,0.04327,0.058255,0.01978,0.01978,0.036133,0.162769,0.029576,0.047738,0.0
hardmask_recovery,3,1.342641,0.426869,0.322943,0.828919,0.0417,0.024352,0.017244,0.017244,0.013913,0.060435,2.4e-05,0.028381,0.0
hardmask_recovery,4,1.828212,0.35358,0.325436,0.683493,0.038661,0.094321,0.159369,0.159369,0.066781,0.191517,0.028081,0.312998,0.14
human_mask_old,1,0.769982,0.564977,0.154487,0.416445,0.042738,0.020638,0.045469,0.045469,0.033069,0.044312,0.017725,0.015926,0.0
human_mask_old,2,2.034463,0.329548,0.395562,0.997199,0.021208,0.049233,0.130573,0.130573,0.190296,0.172219,0.172678,0.149795,0.0
human_mask_old,3,5.650251,0.15037,1.240496,3.431286,0.070471,0.04263,0.126305,0.126305,0.265929,0.051073,0.261009,0.028381,0.083333
human_mask_old,4,1.421856,0.412906,0.34767,0.673502,0.038124,0.041795,0.047848,0.047848,0.000668,0.05856,0.014885,0.135727,0.08
rollout_soft,1,0.735746,0.576121,0.104348,0.461658,0.025298,0.022423,0.037812,0.037812,0.058763,0.00251,0.040642,0.009954,0.0
rollout_soft,2,3.853677,0.206029,0.812786,2.135621,0.034035,0.013565,0.187024,0.187024,0.219653,0.122249,0.199251,0.165424,0.076923
rollout_soft,3,2.679951,0.271743,0.572825,1.473187,0.07289,0.033599,0.124709,0.124709,0.14762,0.13806,0.135971,0.110329,0.0
rollout_soft,4,1.277733,0.439033,0.309747,0.612084,0.02486,0.031656,0.030449,0.030449,0.006494,0.032546,0.01205,0.095731,0.1
task_specific_policy,1,1.032562,0.49199,0.197456,0.596188,0.046978,0.025128,0.058696,0.058696,0.047965,0.026816,0.027096,0.025468,0.0
task_specific_policy,2,1.955147,0.338393,0.408595,1.047852,0.024113,0.067573,0.039391,0.039391,0.11719,0.019377,0.131588,0.047738,0.076923
task_specific_policy,3,4.921647,0.168872,1.021942,2.779201,0.052529,0.037263,0.068354,0.068354,0.217615,0.194643,0.229837,0.028381,0.25
task_specific_policy,4,1.639884,0.378804,0.384825,0.726426,0.032242,0.045716,0.056909,0.056909,0.008663,0.086341,0.014049,0.155629,0.14
