model,task,human_distance,human_similarity,length_w1_norm,excess_w1_norm,action_tv,turn_tv,revisit_abs,unique_abs,efficiency_abs,shortest_alignment_abs,progress_abs,hit_abs,reached_gap
context,1,7.048063,0.124254,1.010877,4.724576,0.043359,0.089709,0.15502,0.15502,0.212921,0.294622,0.204747,0.126688,0.25
context,2,3.23278,0.236251,0.645359,1.703968,0.042253,0.035489,0.155937,0.155937,0.206148,0.17848,0.206714,0.147191,0.076923
context,3,4.304253,0.188528,0.854187,2.313732,0.06326,0.049977,0.247904,0.247904,0.231563,0.183516,0.226077,0.248418,0.083333
context,4,3.66633,0.214301,0.957369,1.752737,0.025868,0.029253,0.060092,0.060092,0.089152,0.042308,0.10803,0.067105,0.32
hardmask_recovery,1,1.02298,0.49432,0.141872,0.625141,0.035912,0.01707,0.062349,0.062349,0.083069,0.022864,0.058995,0.037831,0.0
hardmask_recovery,2,1.050086,0.487784,0.194012,0.569841,0.04327,0.058255,0.01978,0.01978,0.036133,0.162769,0.029576,0.047738,0.0
hardmask_recovery,3,1.333287,0.42858,0.320165,0.822899,0.0417,0.024352,0.017244,0.017244,0.013913,0.060435,2.4e-05,0.028381,0.0
hardmask_recovery,4,1.822482,0.354298,0.323435,0.680165,0.038661,0.094321,0.159369,0.159369,0.066781,0.191517,0.028081,0.312998,0.14
human_mask_soft_recovery,1,0.766777,0.566002,0.152926,0.415113,0.042738,0.020638,0.045469,0.045469,0.033069,0.044312,0.017725,0.015926,0.0
human_mask_soft_recovery,2,2.028366,0.330211,0.39476,0.992063,0.021208,0.049233,0.130573,0.130573,0.190296,0.172219,0.172678,0.149795,0.0
human_mask_soft_recovery,3,5.649038,0.150398,1.240479,3.430094,0.070471,0.04263,0.126305,0.126305,0.265929,0.051073,0.261009,0.028381,0.083333
human_mask_soft_recovery,4,1.418705,0.413444,0.346605,0.671629,0.038124,0.041795,0.047848,0.047848,0.000668,0.05856,0.014885,0.135727,0.08
old_minimal,1,3.859439,0.205785,0.649138,2.569068,0.023512,0.082053,0.0496,0.0496,0.049894,0.092202,0.039868,0.049259,0.166667
old_minimal,2,7.007781,0.124879,1.447455,3.836706,0.036055,0.029547,0.251412,0.251412,0.268556,0.147265,0.318393,0.200165,0.384615
old_minimal,3,5.225172,0.160638,0.982552,2.723072,0.078193,0.074053,0.266883,0.266883,0.243641,0.221581,0.24123,0.297038,0.25
old_minimal,4,4.406286,0.18497,1.129973,2.083893,0.014458,0.083621,0.077895,0.077895,0.067505,0.027007,0.112836,0.002739,0.44
rollout_soft,1,0.740369,0.574591,0.105438,0.464972,0.025298,0.022423,0.037812,0.037812,0.058763,0.00251,0.040642,0.009954,0.0
rollout_soft,2,3.836328,0.206768,0.808832,2.123016,0.034035,0.013565,0.187024,0.187024,0.219653,0.122249,0.199251,0.165424,0.076923
rollout_soft,3,2.675109,0.272101,0.57161,1.469803,0.07289,0.033599,0.124709,0.124709,0.14762,0.13806,0.135971,0.110329,0.0
rollout_soft,4,1.270951,0.440344,0.307366,0.608159,0.02486,0.031656,0.030449,0.030449,0.006494,0.032546,0.01205,0.095731,0.1
