task_t,replan_t,target_t,progress_bin,n_transitions,mean_delta_norm,std_delta_norm,mean_dPC1,mean_dPC2,mean_dPC3
1,0,0,0,564,1.3824893081600362,0.4674877061410331,0.056130942710219546,-0.6528540049144562,0.016320352105701222
1,0,0,1,299,1.4123315841744477,0.6476183130406575,0.17940432565866107,-0.8351866932567147,0.1251822141899313
1,0,0,2,345,1.4592223033362972,0.6324696682145338,0.0866086662247561,-0.8529349570688994,0.11377859119919763
1,0,0,3,374,1.467847675015343,0.5763707662042841,0.02591665003468646,-0.8427825412727932,0.06194768563151997
1,0,0,4,289,1.4264498155686527,0.5890748361237528,0.04370007486079391,-0.7979400990640416,0.13840521869465555
1,0,0,5,409,1.5325564268855765,0.5599362401086588,0.07869780522686928,-0.9560832850507536,0.10057285052785664
1,0,0,6,407,1.5268766127654902,0.5222025575246342,0.06793079080394211,-0.9123631948628063,0.12309056355707183
1,0,0,7,287,1.3794758083811516,0.5742960063298179,0.1997885828779342,-0.7544623206820638,0.11351092580303498
1,0,0,8,358,1.4989940508043746,0.5597888565275455,0.1946550453466743,-0.8796521759690852,-0.03489409561929756
1,0,0,9,614,1.5289253196421198,0.5218113367037638,0.2722456328789264,-0.9201890481120212,0.06587053289339674
1,0,1,0,701,1.358049155525151,0.5492291665801937,-0.43641564658126886,0.5081333390379938,-0.17381133156670484
1,0,1,1,318,1.3091573040674693,0.6027439781768101,-0.5041580078713361,0.527868334883414,-0.12451471831157522
1,0,1,2,437,1.38008004072329,0.5951195519524713,-0.5250620598941018,0.6135608723357285,-0.09678253125680666
1,0,1,3,365,1.4298951404143687,0.5916327852660695,-0.6103441686254658,0.5801646078872966,-0.09496099208928134
1,0,1,4,282,1.383667519778436,0.603960672257255,-0.6103652432719444,0.5780493193801414,-0.10420749875459265
1,0,1,5,456,1.4448279387934395,0.5783243808116649,-0.6970324338201368,0.6533048195895135,-0.09322787095841609
1,0,1,6,404,1.478712980179024,0.5852648050927001,-0.7505367013745674,0.673084760527357,-0.10371638349451051
1,0,1,7,338,1.5479267982961664,0.6181648829067274,-0.8247627937097168,0.6889487972714492,-0.12443081081222147
1,0,1,8,354,1.5413405867346095,0.6000396288646511,-0.9071728977253714,0.618951858726388,-0.20120394107817258
1,0,1,9,703,1.6336861446732986,0.5195244914741204,-0.9778162921178731,0.9009144642346593,-0.11295027800889985
1,0,2,0,765,1.3843102318739968,0.4991887581785499,0.506443463879473,-0.38282839024768156,0.39163290286814073
1,0,2,1,351,1.3940759764352755,0.5778035447441126,0.5814263137996706,-0.5328523756304697,0.41753040433481886
1,0,2,2,418,1.3466278352378087,0.6013477439032958,0.5718986547449559,-0.4116087631104095,0.39051130314192706
1,0,2,3,302,1.3243423331195847,0.6348403224374551,0.6139886548730317,-0.5144891092270021,0.41101796182476924
1,0,2,4,286,1.393050569191028,0.6311671893107665,0.656402047436971,-0.5432602244240421,0.44494530001095123
1,0,2,5,488,1.5488378275796526,0.5797700169044973,0.7392718911048819,-0.6030489402655207,0.47694228282656337
1,0,2,6,391,1.5681112028391617,0.627427108059641,0.8087542636886887,-0.6236528122364102,0.4901421882802873
1,0,2,7,309,1.6490586953520967,0.5884390806043498,0.8519782695714324,-0.5992931054971364,0.5345430573249615
1,0,2,8,375,1.7036939880251885,0.575907380604205,0.8624094855388006,-0.6817881871859233,0.5346447493930657
1,0,2,9,600,1.756173299609994,0.5862968108833255,1.0204454389090338,-0.6908785703778267,0.5502215105543534
1,0,3,0,548,1.456159078674119,0.6124802080243966,-0.1850131153448546,1.0032709133233466,-0.2850155602855078
1,0,3,1,276,1.2631708905159873,0.6177146258948332,-0.1671702283691021,0.7282180454905914,-0.34293506761499937
1,0,3,2,338,1.3886537850371523,0.6149530807824416,-0.20279728080085396,0.8028719017403365,-0.41680399217152386
1,0,3,3,328,1.3792556764049706,0.600879046847293,-0.22673172035776987,0.8313327761276103,-0.45044744991492935
1,0,3,4,276,1.33524119070532,0.5419380870021925,-0.14362527173606382,0.7519423453596191,-0.38817993465109146
1,0,3,5,435,1.3590055455764134,0.6059403646771157,-0.12714727317122207,0.7702006248907111,-0.42916075700315937
1,0,3,6,413,1.318197001015303,0.5469328800612602,-0.09946816573347941,0.7179168098342332,-0.45337378523215544
1,0,3,7,358,1.258734478516369,0.5797810817204986,-0.08242157659384125,0.6687921554099914,-0.4029682014741045
1,0,3,8,403,1.3323500873266763,0.623423972069738,-0.09624191036184432,0.7106922029358134,-0.49041553122677817
1,0,3,9,732,1.502545407688235,0.6236576513611068,-0.18022853481364462,0.8474944522553455,-0.5830063218851396
2,0,0,0,633,1.5029658050545585,0.5091396000448869,0.009257477277074757,-0.7136295401560375,-0.037298861955767745
2,0,0,1,363,1.5250225413729213,0.6010005185849299,0.08794008369862868,-0.9270267861564297,0.06258951022851565
2,0,0,2,438,1.580807629645245,0.602569612333789,0.20105759423549316,-0.9479357857240117,0.018165444487442166
2,0,0,3,386,1.5504855792776444,0.6076277268749077,0.08955281318546576,-1.0208247521303477,0.09394195007034843
2,0,0,4,354,1.5489611540431694,0.6015566246572243,0.11919064849278348,-0.9781983515805444,0.13246144232271756
2,0,0,5,467,1.6116996522857239,0.5683560621464803,0.1775329952991749,-1.0118331122002715,0.12793395950656375
2,0,0,6,435,1.6003428695616366,0.5618699145330261,0.1724667927999606,-1.0284869569128958,0.06617738332214027
2,0,0,7,361,1.6198430626015914,0.5328076339590034,0.1479448031768244,-1.076640683651961,0.08118979387253605
2,0,0,8,466,1.490056008420277,0.5339176715170763,0.2783219045259922,-0.912367901369098,-0.048594718239402056
2,0,0,9,696,1.6103629593298525,0.5884263583281367,0.3087005626260378,-1.0052115550778549,0.03400004401417642
2,0,1,0,610,1.4631424441689351,0.5941067043788101,-0.45193239524349815,0.5794405540726224,-0.2711275792268456
2,0,1,1,310,1.321170549262916,0.6054261803612548,-0.45709627550696175,0.5226381102156255,-0.08603208371468128
2,0,1,2,421,1.390815353277637,0.6162975750248412,-0.5636905519703221,0.6155279102312697,-0.049824430653714794
2,0,1,3,394,1.3939390733157317,0.612775000594696,-0.5911358391705352,0.667261914931578,-0.07634006682688815
2,0,1,4,307,1.4678717991124826,0.6403399665383807,-0.6206141960494681,0.7358632153233798,-0.1474065360422049
2,0,1,5,533,1.4526258407144914,0.6888301713188936,-0.6989865668579293,0.6860808475575573,-0.12387124433114034
2,0,1,6,501,1.4669086565141578,0.6704947507746997,-0.7564970512694108,0.6915566374263363,-0.12276832931888794
2,0,1,7,338,1.5334843675765766,0.6273761054480224,-0.8708816491860962,0.6661746836096577,-0.1267135273554974
2,0,1,8,415,1.463983964935753,0.6165203322460523,-0.8147017013775297,0.6354025490671755,-0.1714557441243206
2,0,1,9,774,1.6134208588155818,0.5672029550541883,-0.9743992339347992,0.8325805247843131,-0.1722067818815702
2,0,2,0,758,1.5207567961793147,0.49466776750220215,0.49086521567880004,-0.3591650741120756,0.5559180332360038
2,0,2,1,376,1.392663625293124,0.5588807944919707,0.5144893487400197,-0.44767420841975414,0.4408590692551212
2,0,2,2,387,1.3546163142882577,0.5844996534927077,0.5923144964438692,-0.4412060215761187,0.42829139084008927
2,0,2,3,348,1.417867637892393,0.5899088542283587,0.6463498763911341,-0.5044255445379464,0.4563192493742567
2,0,2,4,302,1.4690193533403983,0.6317487713733037,0.6938727947063004,-0.5850346434170639,0.40974364912026373
2,0,2,5,461,1.513837860157782,0.6590974871821569,0.7657809336740451,-0.626146270483409,0.4330097244579725
2,0,2,6,418,1.5917574983108544,0.596365158783092,0.7554613346652836,-0.6155451938296049,0.5456882488543978
