task,replan,progress_bin,n_steps,mean_hidden_norm,mean_choice_confidence,mean_PC1,mean_PC2,mean_PC3
1,0,0,2649,1.223777,1.2074273,0.012746863,-0.064393036,-0.05339794
1,0,1,1490,1.3734025,1.7082689,-0.0027876224,0.041838586,-0.052771788
1,0,2,1834,1.3500847,1.7090744,0.025331002,0.016825201,-0.021158285
1,0,3,1580,1.3527687,1.6451238,-0.008751226,0.06291917,-0.0018518566
1,0,4,1281,1.3868904,1.7642789,-0.07850215,0.055770744,-0.027027268
1,0,5,2034,1.3413332,1.8579335,-0.030541273,0.0058005573,0.02322111
1,0,6,1831,1.3639455,1.7446043,-0.055501975,0.002887997,0.03677278
1,0,7,1583,1.3392141,1.745349,-0.009114789,0.0024734274,0.004682288
1,0,8,1741,1.3678669,1.9503459,-0.05244525,0.006560454,-0.0074017188
1,0,9,2764,1.3408005,1.8790885,0.0324853,0.060078815,-0.08281047
2,0,0,2719,1.276827,1.2966039,-0.0105374195,-0.0045611477,-0.012079271
2,0,1,1710,1.4156016,1.7366118,-0.004226503,0.07838042,0.032053713
2,0,2,1933,1.4099034,1.7386936,0.032824803,0.047585107,0.031630367
2,0,3,1714,1.4006803,1.7569369,0.023094347,0.05343429,0.03811458
2,0,4,1420,1.4121137,1.7357668,-0.009064352,0.06235995,0.059655767
2,0,5,2167,1.3977922,1.843549,0.034244798,0.06296395,0.027168205
2,0,6,1905,1.3726908,1.8345541,0.020252662,0.043188512,0.04821045
2,0,7,1735,1.3719524,1.8309009,0.0008532307,0.031076942,0.051787503
2,0,8,1899,1.3785877,1.9152725,0.022787409,0.020051133,-0.004963115
2,0,9,2849,1.3502403,1.875654,0.04229871,0.025111696,-0.06262624
3,0,0,3052,1.2773846,1.3376603,-0.001988997,-0.016991597,-0.041437875
3,0,1,1947,1.3879988,1.6740108,-0.028490173,0.04622046,-0.032800067
3,0,2,2217,1.382565,1.7030596,-0.025116347,0.02563726,-0.014203297
3,0,3,1941,1.36756,1.6385514,0.0030581579,0.06586099,-0.012798419
3,0,4,1750,1.3663788,1.6947737,-0.015571236,0.045805443,-0.018617488
3,0,5,2354,1.3707384,1.7790374,0.0033728282,0.028179575,0.017340548
3,0,6,2155,1.3529807,1.7758236,-0.01530156,0.035120074,-0.0060910424
3,0,7,1885,1.3563597,1.7766172,-0.02865181,0.049816705,0.015231711
3,0,8,2115,1.3670607,1.9173039,7.137897e-05,0.0047626332,0.022325872
3,0,9,3067,1.3621385,1.9467626,0.040778305,0.040922157,-0.07033092
4,0,0,22979,1.1180009,1.0361497,0.008057991,-0.019136934,-0.02042602
4,0,1,17851,1.2536132,1.2595749,-0.005853406,-0.012292525,-0.007801432
4,0,2,16514,1.2525717,1.2502414,-0.007966615,-0.026478369,0.009553571
4,0,3,13909,1.2566448,1.2629228,-0.003570784,-0.011791143,0.009390173
4,0,4,11324,1.2622818,1.2995766,0.0031025098,-0.003198722,0.008806902
4,0,5,10995,1.2572422,1.3244349,0.009239078,-0.012209071,0.036945026
4,0,6,8967,1.2542633,1.3162916,-0.0051631383,-0.0051457714,0.02530144
4,0,7,7295,1.2486806,1.3285713,-0.00884011,-0.0118880505,0.015213686
4,0,8,6583,1.2377504,1.3619084,-0.0022785913,-0.015549243,0.013145184
4,0,9,6853,1.2506554,1.56098,0.009871999,-0.0111335525,-0.012896679
