epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.24118,0.432417,1.057782,0.568619
2,0.946491,0.626147,0.903801,0.641754
3,0.870152,0.657219,0.869704,0.654647
4,0.843871,0.666445,0.849151,0.66046
5,0.828568,0.671667,0.837935,0.666891
6,0.818997,0.675734,0.829693,0.670618
7,0.811254,0.678679,0.822814,0.673603
8,0.805218,0.681395,0.817461,0.674377
9,0.800603,0.68351,0.813478,0.677265
10,0.796749,0.68511,0.809619,0.677947
11,0.793218,0.68681,0.80579,0.680797
12,0.790096,0.688213,0.803623,0.681572
13,0.787156,0.688769,0.800503,0.681951
14,0.784394,0.68994,0.797577,0.681935
15,0.781953,0.690109,0.795472,0.683164
16,0.779839,0.690731,0.794035,0.685088
17,0.778081,0.691274,0.792341,0.684838
18,0.776511,0.691912,0.790712,0.686014
19,0.775055,0.69248,0.788659,0.687022
20,0.773746,0.693466,0.787101,0.687558
