goal,n_test,accuracy
0,413,0.2566585956416465
1,418,0.284688995215311
2,324,0.0030864197530864196
3,241,0.0
4,97,0.0
5,181,0.0
6,163,0.0
7,268,0.0
8,423,0.13002364066193853
9,514,0.39299610894941633
10,314,0.01910828025477707
11,246,0.012195121951219513
12,242,0.02066115702479339
13,222,0.16216216216216217
14,294,0.013605442176870748
15,307,0.04234527687296417
16,385,0.0
17,317,0.0
18,242,0.0
19,356,0.14606741573033707
20,319,0.21003134796238246
21,257,0.0
22,155,0.0
23,264,0.0
24,500,0.188
25,297,0.0
26,163,0.0
27,163,0.0
28,139,0.0
29,181,0.0
30,180,0.0
31,324,0.0
32,284,0.0
33,274,0.0
34,197,0.0
35,19,0.0
36,196,0.0
37,110,0.0
38,164,0.0
39,498,0.6365461847389559
40,289,0.010380622837370242
41,261,0.0
42,100,0.0
43,168,0.011904761904761904
44,121,0.0
45,171,0.0
46,312,0.0
47,268,0.0037313432835820895
48,159,0.0
