state,n_test,accuracy
0,83,0.0
1,97,0.0
2,238,0.0
3,259,0.40540540540540543
4,173,0.0
5,132,0.022727272727272728
6,60,0.0
7,180,0.0
8,288,0.059027777777777776
9,321,0.9190031152647975
10,403,0.43672456575682383
11,380,0.3026315789473684
12,335,0.0955223880597015
13,123,0.0
14,211,0.0
15,372,0.024193548387096774
16,374,0.1925133689839572
17,445,0.40224719101123596
18,557,0.755834829443447
19,345,0.4028985507246377
20,148,0.0
21,98,0.0
22,368,0.0
23,432,0.3819444444444444
24,298,0.6342281879194631
25,534,0.548689138576779
26,398,0.04271356783919598
27,170,0.029411764705882353
28,201,0.0
29,320,0.44375
30,405,0.3111111111111111
31,406,0.007389162561576354
32,412,0.8956310679611651
33,381,0.0
34,166,0.0
35,172,0.0
36,233,0.0
37,351,0.29914529914529914
38,327,0.2415902140672783
39,264,0.0
40,237,0.0
41,134,0.0
42,31,0.0
43,47,0.0
44,138,0.0
45,163,0.558282208588957
46,177,0.0
47,79,0.0
48,34,0.0
