task_group,progress_bin,n_steps,mean_hidden_norm,mean_choice_confidence,mean_PC1,sem_PC1,mean_PC2,sem_PC2,mean_PC3,sem_PC3
task1_3,0,8373,2.0104962305028065,1.2401794118989669,0.03678996673338947,0.010498868223926042,-0.11978172456376376,0.00826874495010237,-0.1261553720077296,0.006121156347176096
task1_3,1,5089,2.210672078541953,1.675030956652348,0.0748013620828768,0.016210946683581907,-0.04449665490300059,0.01143892601504587,-0.12984739581737612,0.009260378815219029
task1_3,2,5949,2.192138416876786,1.7569844917123212,0.030925116352664313,0.015097568290046916,-0.03962372076750883,0.010763034721266896,-0.09974410468840664,0.00860111243089874
task1_3,3,5200,2.1780698873653845,1.7775535451518383,0.015237079431234616,0.015980529061949113,0.011741078718596153,0.011528443632199447,-0.1354593644547877,0.009504145824568648
task1_3,4,4420,2.175357829932127,1.8101871532423077,0.04411243925582353,0.0172746981975839,-0.009632032259936653,0.012702302253279599,-0.1386691604985792,0.01071356641013716
task1_3,5,6563,2.1461835926253237,1.927801079095197,0.016722366358046366,0.013844648533922112,0.021948959105861646,0.01053118705798308,-0.12972102910970137,0.008921116023014581
task1_3,6,5910,2.1217142058714042,1.9390118377521997,0.010281703282671743,0.01401992659408856,0.020566570170732996,0.011425802648770187,-0.15047415749669882,0.009242779574399666
task1_3,7,5239,2.101004017961443,1.975733890541065,0.010851036891912578,0.01411529120024603,0.004842394391402939,0.0123506695552168,-0.14293193488023095,0.010180323654372598
task1_3,8,5799,2.0851380671495083,2.2119716503436906,0.024982466979208483,0.013177394142677401,0.013793616483691843,0.012074178920053857,-0.13892519253360408,0.009938119407828419
task1_3,9,8779,2.036591815502905,2.33375957257068,0.015226335275999543,0.010088912789543629,0.003735386979878119,0.009290998929948596,-0.19137056499985305,0.007874193533065796
task4,0,15054,1.7413973159512421,0.8943496536541424,-0.053014594858347946,0.007523186198714068,-0.031822766030276076,0.005100068403549721,0.037574133744902885,0.004709478849811543
task4,1,11124,2.0902742682883853,1.2947335760828074,-0.018320856094171608,0.010251710880066395,-0.029669017871048236,0.006926241866057087,0.053908823481076056,0.007187603499803182
task4,2,11995,2.1199083722134224,1.326830862176732,0.0007600937225427259,0.010265151268457813,-0.025844351666338056,0.006719233092628471,0.07664847121070446,0.006801722110389671
task4,3,11109,2.1289287222342246,1.3280957636096027,-0.024576879484024663,0.010757837759994001,-0.017202543649455396,0.007116540738216689,0.09151794857598416,0.007169810353501965
task4,4,10328,2.132597854879938,1.391666950473173,-0.040583353999197325,0.011361841155896878,0.010925546336813516,0.00742401612797271,0.08755697812913923,0.007563398055374018
task4,5,12786,2.115105647677147,1.4592828884855835,-0.023179782364678558,0.010054221007282035,0.0230680719194038,0.006883488532202201,0.0847344465963554,0.006779720468650746
task4,6,11944,2.099279469658406,1.4731587788456937,-0.013548498957361854,0.010179802043829093,0.012002985492689551,0.007231447591083495,0.07995696652711078,0.0070586348773092784
task4,7,11160,2.0814306754211467,1.5302104255803464,0.005013981645064515,0.009966562236391042,0.03035652735701412,0.007764681391793721,0.0711299740803414,0.007408711699682349
task4,8,11959,2.051941630069404,1.7026216130014518,0.020421586389383725,0.00923757476463408,0.04210763888005184,0.007812367883826704,0.08665164220880592,0.00728275983685714
task4,9,15811,1.990640670400354,1.9736831407461888,0.01202958421374739,0.007360373635157688,0.06069024417310796,0.00695656278452545,0.04608825200242312,0.006382678901411309
