epoch,train_loss,train_accuracy,train_steps,val_loss,val_accuracy,val_steps
1,1.288339,0.406098,4329,1.190843,0.485149,1313
2,1.1038,0.541234,4329,1.067163,0.548363,1313
3,1.019539,0.581659,4329,1.002853,0.590251,1313
4,0.954798,0.608224,4329,0.965133,0.612338,1313
5,0.896401,0.634327,4329,0.937024,0.623001,1313
6,0.842306,0.663433,4329,0.932726,0.615385,1313
7,0.792944,0.6766,4329,0.918848,0.623001,1313
8,0.751905,0.693694,4329,0.937795,0.632902,1313
9,0.705758,0.719797,4329,0.930692,0.635948,1313
10,0.650344,0.746824,4329,0.936682,0.645088,1313
11,0.584291,0.774082,4329,0.998132,0.632902,1313
12,0.531337,0.792331,4329,1.071082,0.625286,1313
13,0.505442,0.802033,4329,1.069581,0.631379,1313
14,0.4504,0.822361,4329,1.111486,0.616146,1313
15,0.390479,0.857473,4329,1.210384,0.619193,1313
16,0.339892,0.875953,4329,1.237516,0.623762,1313
17,0.275883,0.89836,4329,1.27955,0.623001,1313
18,0.24336,0.918457,4329,1.295843,0.615385,1313
19,0.221445,0.927466,4329,1.40361,0.60853,1313
20,0.183367,0.941788,4329,1.455165,0.619193,1313
