epoch,train_loss,train_accuracy,train_steps,val_loss,val_accuracy,val_steps
1,1.20677,0.45738,4329,1.085267,0.544554,1313
2,1.050846,0.562717,4329,0.993263,0.597867,1313
3,0.95931,0.615385,4329,0.946119,0.614623,1313
4,0.884535,0.647725,4329,0.912871,0.630617,1313
5,0.808463,0.678448,4329,0.913308,0.639756,1313
6,0.727173,0.716794,4329,0.93425,0.630617,1313
7,0.636033,0.757219,4329,0.958921,0.629094,1313
8,0.563473,0.784015,4329,1.052886,0.621478,1313
9,0.479618,0.816586,4329,1.074698,0.634425,1313
10,0.39081,0.856549,4329,1.135244,0.648896,1313
