epoch,train_loss,train_accuracy,train_steps,val_loss,val_accuracy,val_steps
1,1.187968,0.476784,4329,1.055568,0.564356,1313
2,1.026416,0.574267,4329,0.956904,0.618431,1313
3,0.942943,0.621391,4329,0.905258,0.632902,1313
4,0.881687,0.645646,4329,0.877719,0.648134,1313
5,0.804108,0.686302,4329,0.877549,0.66032,1313
6,0.718594,0.725341,4329,0.892819,0.653465,1313
7,0.629098,0.758836,4329,0.973164,0.64128,1313
8,0.542317,0.79903,4329,1.017762,0.638233,1313
9,0.460909,0.826981,4329,1.067468,0.645849,1313
10,0.372598,0.860707,4329,1.144656,0.659558,1313
11,0.311613,0.885424,4329,1.187471,0.66032,1313
12,0.240032,0.915454,4329,1.279945,0.642041,1313
13,0.201675,0.932086,4329,1.33289,0.649657,1313
14,0.168593,0.941788,4329,1.39698,0.650419,1313
15,0.135857,0.957496,4329,1.423718,0.647372,1313
16,0.102005,0.968815,4329,1.521857,0.645088,1313
17,0.079387,0.9769,4329,1.573157,0.630617,1313
18,0.065092,0.982213,4329,1.530283,0.632902,1313
19,0.053743,0.988219,4329,1.58883,0.642803,1313
20,0.034474,0.992377,4329,1.6008,0.648134,1313
