epoch,train_loss,train_behavior_loss,train_illegal_loss,train_accuracy,train_steps,rollout_constraint_loss,rollout_constraint_steps,rollout_prevented_illegal_rate,rollout_constraint_revisit_rate,rollout_recovery_targets,val_loss,val_behavior_loss,val_illegal_loss,val_accuracy,val_steps,rollout_score,trial_weighted_rollout_score,reached_goal_rate,mean_excess_steps,mean_hit_rate,mean_revisit_rate,mean_efficiency,task1_rollout_score,task1_reached_goal_rate,task1_mean_hit_rate,task1_mean_excess_steps,task2_rollout_score,task2_reached_goal_rate,task2_mean_hit_rate,task2_mean_excess_steps,task3_rollout_score,task3_reached_goal_rate,task3_mean_hit_rate,task3_mean_excess_steps,task4_rollout_score,task4_reached_goal_rate,task4_mean_hit_rate,task4_mean_excess_steps,selection_metric,selection_value
1,1.19477,1.188005,0.338267,0.476784,4329,0.490678,760,0.289474,0.336842,570,1.06274,1.056294,0.322299,0.564356,1313,0.743878,0.742832,0.565256,24.845449,0.0,0.293778,0.47624,1.464621,0.75,0.0,18.666667,-0.141641,0.307692,0.0,32.538462,0.887747,0.583333,0.0,21.916667,0.764786,0.62,0.0,26.26,rollout_score,0.743878
2,1.032064,1.026524,0.277031,0.574498,4329,0.487504,551,0.197822,0.201452,341,0.962445,0.956662,0.289163,0.612338,1313,1.432182,1.364535,0.738077,17.790897,0.0,0.194476,0.567546,2.363167,0.916667,0.0,7.416667,1.10964,0.692308,0.0,22.076923,0.97013,0.583333,0.0,20.75,1.285793,0.76,0.0,20.92,rollout_score,1.432182
3,0.948248,0.943284,0.248185,0.623701,4329,0.513434,574,0.184669,0.25784,343,0.911536,0.906138,0.269926,0.629094,1313,1.588643,1.475623,0.755513,15.812564,0.0,0.177814,0.62312,2.788002,1.0,0.0,3.5,0.810109,0.615385,0.0,25.076923,1.406087,0.666667,0.0,15.333333,1.350375,0.74,0.0,19.34,rollout_score,1.588643
4,0.887054,0.882282,0.238633,0.644722,4329,0.509664,502,0.177291,0.233068,294,0.881938,0.876924,0.250727,0.648896,1313,1.717185,1.623147,0.778141,13.978526,0.0,0.152838,0.641394,2.203341,0.833333,0.0,7.583333,1.467164,0.769231,0.0,18.230769,1.689767,0.75,0.0,12.5,1.508467,0.76,0.0,17.6,rollout_score,1.717185
5,0.808875,0.804184,0.234577,0.686302,4329,0.455502,448,0.158482,0.225446,233,0.881606,0.876757,0.242454,0.661081,1313,1.793306,1.491393,0.812436,13.533397,0.0,0.160144,0.638494,2.524897,0.916667,0.0,4.583333,1.932117,0.923077,0.0,14.076923,1.61778,0.75,0.0,13.833333,1.098431,0.66,0.0,21.64,rollout_score,1.793306
6,0.722732,0.718102,0.231479,0.725572,4329,0.494882,415,0.13012,0.207229,213,0.897668,0.892912,0.23783,0.654989,1313,1.782292,1.573277,0.806603,13.378846,0.0,0.16972,0.63834,2.598897,0.916667,0.0,3.75,2.040344,0.923077,0.0,11.615385,1.19296,0.666667,0.0,18.75,1.296968,0.72,0.0,19.4,rollout_score,1.782292
7,0.632588,0.627972,0.230755,0.760684,4329,0.589384,544,0.137868,0.270221,296,0.977232,0.972306,0.24633,0.63671,1313,1.86179,1.610606,0.832436,12.659359,0.0,0.190408,0.652862,2.851566,1.0,0.0,1.666667,1.997356,0.923077,0.0,12.230769,1.315093,0.666667,0.0,16.5,1.283144,0.74,0.0,20.24,rollout_score,1.86179
8,0.547174,0.542459,0.235749,0.798106,4329,0.565449,558,0.145161,0.293907,298,1.023748,1.018855,0.244646,0.635187,1313,1.945554,1.69837,0.853269,11.88609,0.0,0.15494,0.657574,2.879444,1.0,0.0,1.166667,1.96246,0.923077,0.0,13.307692,1.561123,0.75,0.0,14.75,1.379188,0.74,0.0,18.32,rollout_score,1.945554
9,0.466664,0.461868,0.239816,0.828598,4329,0.659399,498,0.110442,0.204819,228,1.080356,1.075661,0.234726,0.648134,1313,1.897294,1.542525,0.8575,12.599679,0.0,0.165151,0.626345,2.115024,0.833333,0.0,8.75,2.363828,1.0,0.0,8.615385,2.037541,0.916667,0.0,10.833333,1.072782,0.68,0.0,22.2,rollout_score,1.897294
10,0.379303,0.374496,0.240368,0.859552,4329,0.565841,452,0.223451,0.274336,206,1.149333,1.144543,0.239458,0.654227,1313,2.022236,1.639041,0.888333,11.415,0.0,0.15213,0.648872,2.84127,1.0,0.0,1.5,2.209965,1.0,0.0,10.0,1.897728,0.833333,0.0,11.5,1.139982,0.72,0.0,22.66,rollout_score,2.022236
