epoch,train_loss,train_behavior_loss,train_illegal_loss,train_accuracy,train_steps,rollout_constraint_loss,rollout_constraint_steps,rollout_prevented_illegal_rate,rollout_constraint_revisit_rate,rollout_recovery_targets,val_loss,val_behavior_loss,val_illegal_loss,val_accuracy,val_steps,rollout_score,human_similarity_score,trial_weighted_rollout_score,reached_goal_rate,mean_excess_steps,mean_hit_rate,mean_revisit_rate,mean_efficiency,task1_rollout_score,task1_human_similarity_score,task1_reached_goal_rate,task1_mean_hit_rate,task1_mean_excess_steps,task2_rollout_score,task2_human_similarity_score,task2_reached_goal_rate,task2_mean_hit_rate,task2_mean_excess_steps,task3_rollout_score,task3_human_similarity_score,task3_reached_goal_rate,task3_mean_hit_rate,task3_mean_excess_steps,task4_rollout_score,task4_human_similarity_score,task4_reached_goal_rate,task4_mean_hit_rate,task4_mean_excess_steps,selection_metric,selection_value
1,1.19477,1.188005,0.338267,0.476784,4329,0.823635,798,0.06015,0.160401,607,1.062662,1.056217,0.322264,0.563595,1313,0.172496,0.105622,0.217442,0.506987,29.3625,0.296879,0.162466,0.341886,0.956431,0.070376,0.666667,0.191721,21.75,-0.354576,0.08445,0.384615,0.205703,36.0,-0.201139,0.088308,0.416667,0.599738,28.5,0.289269,0.179355,0.56,0.190354,31.2,rollout_score,0.172496
2,1.03196,1.02642,0.276973,0.574498,4329,0.79551,679,0.064801,0.162003,490,0.962327,0.956545,0.289082,0.6131,1313,0.95492,0.155357,0.955674,0.688013,21.450192,0.232668,0.144457,0.466317,2.099432,0.154532,0.916667,0.113537,10.25,0.453684,0.110041,0.615385,0.201422,28.230769,0.296726,0.106753,0.5,0.44735,24.0,0.969838,0.250103,0.72,0.168365,23.32,rollout_score,0.95492
3,0.948035,0.943073,0.248099,0.623932,4329,0.661174,522,0.04023,0.151341,301,0.911402,0.906005,0.269831,0.629855,1313,1.173834,0.208412,1.165349,0.712244,18.625256,0.216924,0.123034,0.530858,2.407284,0.317576,0.916667,0.099449,5.083333,0.747603,0.124412,0.692308,0.199046,25.307692,0.374828,0.11011,0.5,0.424194,23.25,1.165623,0.281549,0.74,0.145008,20.86,rollout_score,1.173834
4,0.88676,0.881988,0.238562,0.64426,4329,0.64292,498,0.056225,0.216867,277,0.881902,0.876889,0.250677,0.648896,1313,1.487749,0.224809,1.41099,0.784744,15.626282,0.172171,0.117144,0.571645,2.33093,0.27152,0.916667,0.079326,5.916667,0.982071,0.141237,0.692308,0.139362,22.538462,1.312675,0.179064,0.75,0.332688,14.75,1.325319,0.307415,0.78,0.137308,19.3,rollout_score,1.487749
5,0.808552,0.803862,0.234477,0.686533,4329,0.769435,558,0.039427,0.188172,341,0.881485,0.876635,0.242477,0.659558,1313,1.625854,0.288619,1.36479,0.829038,14.904615,0.15646,0.111019,0.584491,2.70018,0.541197,1.0,0.053306,3.25,1.488021,0.179455,0.846154,0.14036,18.538462,1.28343,0.175304,0.75,0.28364,15.25,1.031783,0.258518,0.72,0.148532,22.58,rollout_score,1.625854
6,0.722713,0.718085,0.231402,0.726034,4329,0.738166,463,0.028078,0.136069,276,0.897673,0.892924,0.237441,0.654989,1313,1.55681,0.250392,1.424103,0.797372,15.273782,0.13993,0.121205,0.580706,2.497308,0.36858,0.916667,0.061094,4.416667,1.550138,0.200923,0.846154,0.154013,16.538462,0.92664,0.130573,0.666667,0.204605,20.5,1.253157,0.30149,0.76,0.140005,19.64,rollout_score,1.55681
7,0.633333,0.628728,0.23027,0.761839,4329,0.833096,609,0.034483,0.220033,374,0.97556,0.970636,0.246208,0.642803,1313,1.591665,0.233651,1.496018,0.852436,15.388654,0.175367,0.13325,0.542046,2.536726,0.258624,1.0,0.075724,6.416667,1.708518,0.220313,0.923077,0.158018,15.384615,0.751806,0.123644,0.666667,0.302171,21.333333,1.369609,0.332023,0.82,0.165553,18.42,rollout_score,1.591665
8,0.547057,0.54234,0.235886,0.796489,4329,0.961311,627,0.041467,0.1563,382,1.023832,1.018953,0.24392,0.635187,1313,1.757089,0.396139,1.660462,0.855833,12.245577,0.186665,0.082445,0.5951,2.805285,0.712927,1.0,0.045951,1.5,2.133767,0.367034,1.0,0.187546,9.692308,0.563351,0.119686,0.583333,0.345831,21.75,1.525953,0.384907,0.84,0.167332,16.04,rollout_score,1.757089
9,0.466881,0.462086,0.239748,0.826057,4329,0.95195,553,0.018083,0.135624,312,1.078923,1.074174,0.237444,0.648896,1313,1.648734,0.257209,1.525082,0.850833,14.303718,0.179775,0.112337,0.564934,2.568442,0.271802,1.0,0.043633,6.166667,2.006432,0.30906,1.0,0.193441,11.461538,0.663842,0.126085,0.583333,0.312937,20.666667,1.356222,0.321888,0.82,0.169089,18.92,rollout_score,1.648734
10,0.374971,0.370162,0.240442,0.8614,4329,0.960245,480,0.00625,0.097917,257,1.144513,1.13983,0.234173,0.65575,1313,1.75029,0.384199,1.55348,0.868269,13.479551,0.170998,0.108582,0.59837,2.756204,0.848969,1.0,0.051444,2.166667,1.659099,0.194069,0.923077,0.143395,17.461538,1.283759,0.174886,0.75,0.309622,15.25,1.302099,0.318872,0.8,0.179532,19.04,rollout_score,1.75029
11,0.305007,0.300143,0.243224,0.890968,4329,1.06333,450,0.008889,0.12,231,1.20737,1.20235,0.251016,0.657273,1313,1.663809,0.257116,1.664345,0.846603,13.820513,0.177218,0.105381,0.569146,2.335617,0.230198,0.916667,0.067563,7.0,1.671854,0.214977,0.923077,0.191756,15.615385,0.982942,0.145783,0.666667,0.270434,18.166667,1.664824,0.437506,0.88,0.179118,14.5,rollout_score,1.663809
12,0.256434,0.251416,0.250904,0.910141,4329,1.002405,432,0.039352,0.18287,222,1.302536,1.297734,0.240122,0.645088,1313,1.83278,0.283591,1.721693,0.914103,13.208333,0.179641,0.095406,0.5827,2.571808,0.364931,1.0,0.092046,4.583333,1.68172,0.200284,0.923077,0.156068,17.0,1.495168,0.191586,0.833333,0.290169,14.25,1.582424,0.377563,0.9,0.180279,17.0,rollout_score,1.83278
13,0.202554,0.19755,0.250197,0.9307,4329,1.102986,508,0.023622,0.129921,243,1.34825,1.34344,0.240529,0.645849,1313,2.028525,0.366022,1.848611,0.950769,11.053782,0.150728,0.098936,0.618757,2.861944,0.593828,1.0,0.01746,1.083333,1.765537,0.250385,0.923077,0.198245,13.538462,1.863084,0.203522,1.0,0.214891,14.333333,1.623537,0.416352,0.88,0.172317,15.26,rollout_score,2.028525
14,0.172552,0.167464,0.254359,0.94687,4329,1.253827,426,0.018779,0.122066,227,1.401012,1.396315,0.234857,0.654989,1313,1.808576,0.358927,1.655238,0.860641,12.154103,0.140435,0.11957,0.612093,2.831667,0.663431,1.0,0.031349,1.333333,1.297974,0.179692,0.769231,0.178255,17.923077,1.633717,0.215096,0.833333,0.192496,13.0,1.470949,0.37749,0.84,0.159638,16.36,rollout_score,1.808576
15,0.133812,0.128726,0.254313,0.960268,4329,1.275677,466,0.015021,0.158798,253,1.476391,1.471793,0.229883,0.648134,1313,1.901631,0.360129,1.809628,0.898269,11.699038,0.141678,0.110921,0.613774,2.861944,0.593828,1.0,0.01746,1.083333,1.767677,0.261216,0.923077,0.216841,12.846154,1.282384,0.154956,0.75,0.162673,17.666667,1.694518,0.430516,0.92,0.169737,15.2,rollout_score,1.901631
