epoch,train_loss,train_behavior_loss,train_illegal_loss,train_accuracy,train_steps,rollout_constraint_loss,rollout_constraint_steps,rollout_constraint_hit_rate,rollout_constraint_revisit_rate,val_loss,val_behavior_loss,val_illegal_loss,val_accuracy,val_steps,rollout_score,reached_goal_rate,mean_excess_steps,mean_hit_rate,mean_revisit_rate,mean_efficiency,selection_metric,selection_value
1,1.198153,1.188023,0.337659,0.476784,4329,0.190176,546,0.510989,0.065934,1.065696,1.056058,0.32128,0.563595,1313,-0.673115,0.298851,36.517241,0.560787,0.067137,0.300186,rollout_score,-0.673115
2,1.034887,1.026612,0.275838,0.57496,4329,0.178204,567,0.550265,0.040564,0.96495,0.956311,0.287964,0.613861,1313,-0.149916,0.413793,31.425287,0.483456,0.05119,0.372497,rollout_score,-0.149916
3,0.950899,0.943491,0.246927,0.624625,4329,0.16912,536,0.526119,0.029851,0.913928,0.905866,0.268716,0.629855,1313,0.161383,0.482759,28.827586,0.435517,0.05273,0.430199,rollout_score,0.161383
4,0.889554,0.882431,0.237429,0.64426,4329,0.152418,528,0.357955,0.147727,0.884292,0.876802,0.249652,0.649657,1313,0.808929,0.643678,23.091954,0.328237,0.06503,0.502933,rollout_score,0.808929
5,0.811185,0.804183,0.233427,0.686995,4329,0.11379,430,0.274419,0.165116,0.884034,0.876787,0.241558,0.658797,1313,0.818364,0.632184,22.816092,0.27341,0.104517,0.499014,rollout_score,0.818364
6,0.72499,0.718079,0.230381,0.725572,4329,0.125437,400,0.315,0.0575,0.900486,0.893387,0.236603,0.654227,1313,1.172415,0.724138,19.321839,0.225679,0.115136,0.530392,rollout_score,1.172415
7,0.635355,0.628464,0.229708,0.761377,4329,0.128644,460,0.328261,0.130435,0.980036,0.972672,0.245464,0.638995,1313,1.080047,0.724138,20.137931,0.264579,0.119843,0.495509,rollout_score,1.080047
8,0.549955,0.542906,0.234991,0.797644,4329,0.137752,374,0.328877,0.082888,1.027016,1.019706,0.243661,0.63671,1313,1.335448,0.781609,17.413793,0.251818,0.088467,0.531485,rollout_score,1.335448
9,0.468013,0.460841,0.239065,0.826981,4329,0.087285,337,0.15727,0.097923,1.082299,1.075223,0.23585,0.648134,1313,1.278245,0.758621,17.793103,0.225506,0.118469,0.522589,rollout_score,1.278245
10,0.378828,0.371633,0.239852,0.858859,4329,0.126577,419,0.307876,0.119332,1.154423,1.14735,0.23576,0.653465,1313,1.307633,0.781609,18.471264,0.21172,0.142777,0.52504,rollout_score,1.307633
11,0.309851,0.302555,0.243189,0.890275,4329,0.133771,491,0.285132,0.181263,1.2068,1.199285,0.250503,0.659558,1313,1.455039,0.816092,16.37931,0.234441,0.100384,0.541941,rollout_score,1.455039
12,0.267213,0.259691,0.250717,0.9076,4329,0.124244,360,0.280556,0.088889,1.289861,1.282675,0.239554,0.638233,1313,1.514023,0.83908,16.218391,0.219275,0.108345,0.541172,rollout_score,1.514023
13,0.207957,0.200514,0.248094,0.93301,4329,0.106339,491,0.254582,0.158859,1.37409,1.366869,0.240693,0.634425,1313,1.693693,0.862069,13.390805,0.191839,0.115244,0.570847,rollout_score,1.693693
14,0.164873,0.157168,0.256862,0.947563,4329,0.144763,396,0.34596,0.070707,1.450108,1.443232,0.2292,0.638233,1313,1.625152,0.873563,15.091954,0.192724,0.121258,0.533467,rollout_score,1.625152
15,0.128749,0.121133,0.253886,0.959344,4329,0.114536,439,0.257403,0.148064,1.490247,1.483043,0.240135,0.63671,1313,1.886891,0.931034,12.114943,0.179438,0.104939,0.573797,rollout_score,1.886891
16,0.096468,0.088747,0.257364,0.974359,4329,0.102273,443,0.21219,0.158014,1.568011,1.560995,0.233859,0.639756,1313,1.874687,0.908046,11.735632,0.167463,0.102535,0.585649,rollout_score,1.874687
17,0.078388,0.070677,0.257041,0.983599,4329,0.100524,412,0.211165,0.13835,1.615707,1.609006,0.223364,0.63671,1313,1.691554,0.873563,14.057471,0.174613,0.11061,0.550086,rollout_score,1.691554
18,0.068316,0.060543,0.259105,0.985678,4329,0.086829,386,0.178756,0.142487,1.674615,1.668051,0.218807,0.64128,1313,1.789322,0.908046,13.609195,0.169022,0.11539,0.56288,rollout_score,1.789322
19,0.055465,0.047734,0.257697,0.989374,4329,0.090619,399,0.190476,0.107769,1.653326,1.646472,0.228462,0.645088,1313,1.670741,0.862069,13.873563,0.184495,0.111313,0.554931,rollout_score,1.670741
20,0.0408,0.03302,0.259345,0.993532,4329,0.09233,412,0.213592,0.126214,1.683455,1.676613,0.228058,0.646611,1313,1.721376,0.873563,13.218391,0.190639,0.103698,0.564791,rollout_score,1.721376
