epoch,scheduled_sampling_prob,train_loss,train_behavior_loss,train_recovery_loss,train_corrupt_recovery_loss,train_accuracy,train_steps,train_corrupt_recovery_steps,val_loss,val_behavior_loss,val_recovery_loss,val_accuracy,val_steps
1,0.025,1.332663,1.197104,1.292466,1.418728,0.472395,4329,461,1.112786,1.051808,1.219568,0.568165,1313
2,0.05,1.173832,1.044062,1.15515,1.44025,0.56572,4329,424,1.009485,0.952337,1.142948,0.619954,1313
3,0.075,1.086334,0.962868,1.121911,1.347406,0.61423,4329,419,0.962889,0.906953,1.118721,0.639756,1313
4,0.1,1.025473,0.903024,1.109994,1.33898,0.640102,4329,388,0.932028,0.87749,1.090763,0.650419,1313
5,0.125,0.95765,0.838056,1.136881,1.255001,0.664126,4329,427,0.921501,0.866663,1.096761,0.648134,1313
6,0.15,0.890422,0.769543,1.163385,1.254199,0.701317,4329,406,0.93402,0.877696,1.126487,0.651942,1313
7,0.175,0.819771,0.705641,1.220829,1.061764,0.725803,4329,402,0.980121,0.922409,1.154249,0.637471,1313
8,0.2,0.738226,0.62186,1.273627,1.0537,0.757219,4329,458,1.004584,0.944506,1.201555,0.643564,1313
9,0.225,0.667549,0.555863,1.304279,0.929447,0.786556,4329,422,1.070376,1.004944,1.308647,0.638233,1313
10,0.25,0.598793,0.484483,1.377377,0.908837,0.817279,4329,416,1.100979,1.034008,1.339421,0.63214,1313
11,0.25,0.536521,0.420459,1.415825,0.905404,0.84523,4329,419,1.136969,1.068547,1.368445,0.645088,1313
12,0.25,0.456533,0.340054,1.513945,0.815629,0.880111,4329,430,1.166601,1.095266,1.426691,0.638995,1313
13,0.25,0.408533,0.287208,1.577275,0.849232,0.89836,4329,449,1.184608,1.114493,1.402289,0.633663,1313
14,0.25,0.342779,0.221276,1.665092,0.764961,0.927928,4329,427,1.233636,1.161538,1.441963,0.63671,1313
15,0.25,0.292494,0.171209,1.729897,0.695803,0.949411,4329,420,1.289374,1.216388,1.459729,0.626047,1313
16,0.25,0.269135,0.147122,1.755627,0.684641,0.961654,4329,415,1.355755,1.285579,1.403513,0.62757,1313
17,0.25,0.24587,0.123136,1.799603,0.655087,0.971125,4329,458,1.382646,1.312497,1.402986,0.62757,1313
18,0.25,0.232979,0.107614,1.817849,0.689454,0.972742,4329,439,1.396996,1.328655,1.366808,0.622239,1313
19,0.25,0.212267,0.08994,1.831105,0.615438,0.97921,4329,432,1.389029,1.32122,1.356178,0.633663,1313
20,0.25,0.194035,0.073103,1.813678,0.604958,0.98614,4329,411,1.404345,1.339069,1.305529,0.621478,1313
