epoch,scheduled_sampling_mode,scheduled_sampling_prob,train_loss,train_behavior_loss,train_recovery_loss,train_corrupt_recovery_loss,train_accuracy,train_steps,train_corrupt_recovery_steps,val_loss,val_behavior_loss,val_recovery_loss,val_accuracy,val_steps
1,state_consistent,0.015,1.247384,1.194228,1.31625,1.341577,0.472857,4329,230,1.081061,1.05544,1.281068,0.569688,1313
2,state_consistent,0.03,1.085257,1.032707,1.215567,1.411896,0.573805,4329,209,0.98115,0.957002,1.207409,0.619193,1313
3,state_consistent,0.045,1.014129,0.961442,1.2069,1.427411,0.614461,4329,194,0.930353,0.906961,1.169623,0.631379,1313
4,state_consistent,0.06,0.959671,0.90951,1.205536,1.302508,0.635713,4329,202,0.905706,0.88285,1.142802,0.643564,1313
5,state_consistent,0.075,0.911008,0.858234,1.237378,1.40133,0.660661,4329,220,0.895889,0.872692,1.159823,0.653465,1313
6,state_consistent,0.09,0.831678,0.780471,1.271127,1.289239,0.696004,4329,212,0.893862,0.870265,1.179835,0.657273,1313
7,state_consistent,0.105,0.767313,0.712616,1.34856,1.386282,0.721876,4329,202,0.933825,0.908228,1.279845,0.638233,1313
8,state_consistent,0.12,0.716043,0.660159,1.419628,1.374535,0.747748,4329,235,0.958578,0.931934,1.332188,0.635187,1313
9,state_consistent,0.135,0.641811,0.586438,1.481404,1.287224,0.782398,4329,214,0.994589,0.966336,1.412656,0.643564,1313
10,state_consistent,0.15,0.570038,0.513289,1.556188,1.281255,0.807577,4329,217,1.01509,0.985718,1.468626,0.649657,1313
11,state_consistent,0.15,0.482328,0.423924,1.650418,1.269786,0.84061,4329,215,1.028052,0.9967,1.567609,0.650419,1313
12,state_consistent,0.15,0.429845,0.371844,1.771688,1.128368,0.86833,4329,213,1.069946,1.0373,1.632302,0.654227,1313
13,state_consistent,0.15,0.401121,0.338647,1.870393,1.253281,0.888196,4329,217,1.129594,1.095396,1.709937,0.638995,1313
14,state_consistent,0.15,0.323538,0.2609,1.974494,1.157418,0.914761,4329,195,1.182921,1.148887,1.701695,0.64128,1313
15,state_consistent,0.15,0.273837,0.211452,2.049442,1.069828,0.936937,4329,208,1.241261,1.20566,1.780061,0.618431,1313
16,state_consistent,0.15,0.214757,0.148157,2.200535,1.129465,0.957496,4329,216,1.281487,1.245853,1.781698,0.648134,1313
17,state_consistent,0.15,0.202453,0.13662,2.250519,1.041088,0.963733,4329,232,1.299667,1.263738,1.796425,0.637471,1313
18,state_consistent,0.15,0.177716,0.11586,2.321359,0.771436,0.968815,4329,219,1.346273,1.309353,1.845996,0.63671,1313
19,state_consistent,0.15,0.15972,0.093674,2.352564,0.949717,0.975283,4329,185,1.359373,1.323616,1.787828,0.638995,1313
20,state_consistent,0.15,0.147984,0.081199,2.353836,0.985436,0.979441,4329,201,1.345538,1.31254,1.64988,0.633663,1313
