epoch,train_loss,train_behavior_loss,train_illegal_loss,train_accuracy,train_steps,rollout_constraint_loss,rollout_constraint_steps,rollout_prevented_illegal_rate,rollout_constraint_revisit_rate,rollout_recovery_targets,val_loss,val_behavior_loss,val_illegal_loss,val_accuracy,val_steps,rollout_score,human_similarity_score,trial_weighted_rollout_score,reached_goal_rate,mean_excess_steps,mean_hit_rate,mean_revisit_rate,mean_efficiency,task1_rollout_score,task1_human_similarity_score,task1_reached_goal_rate,task1_mean_hit_rate,task1_mean_excess_steps,task2_rollout_score,task2_human_similarity_score,task2_reached_goal_rate,task2_mean_hit_rate,task2_mean_excess_steps,task3_rollout_score,task3_human_similarity_score,task3_reached_goal_rate,task3_mean_hit_rate,task3_mean_excess_steps,task4_rollout_score,task4_human_similarity_score,task4_reached_goal_rate,task4_mean_hit_rate,task4_mean_excess_steps,selection_metric,selection_value
1,1.197598,1.191587,0.300528,0.470205,4145,1.019541,649,0.016949,0.11094,503,1.05552,1.049682,0.291938,0.569026,1427,-0.659355,0.076822,-0.255679,0.277509,35.464469,0.396629,0.177489,0.23786,-0.447704,0.063806,0.333333,0.197451,34.666667,-1.101198,0.053294,0.153846,0.573749,38.076923,-1.448953,0.041985,0.08,0.654667,41.0,0.360434,0.148203,0.542857,0.16065,28.114286,human_similarity,0.076822
2,1.000884,0.995991,0.24465,0.588661,4145,0.898521,651,0.009217,0.158218,481,0.950587,0.945323,0.263177,0.623686,1427,0.270987,0.103346,0.437307,0.528773,27.831658,0.250798,0.203236,0.330324,1.287328,0.111204,0.833333,0.126239,21.083333,-0.241529,0.066768,0.384615,0.336706,30.846154,-0.833296,0.046905,0.24,0.41362,37.04,0.871445,0.188506,0.657143,0.126628,22.357143,human_similarity,0.103346
3,0.879355,0.875,0.217756,0.648251,4145,1.087353,554,0.012635,0.095668,396,0.903373,0.898273,0.254956,0.632095,1427,0.623432,0.132518,0.845081,0.597344,23.155201,0.272359,0.120724,0.389576,1.584941,0.164165,0.833333,0.137056,14.333333,-0.130489,0.070087,0.384615,0.376138,29.384615,-0.251943,0.05665,0.4,0.420674,30.76,1.291219,0.239171,0.771429,0.155567,18.142857,human_similarity,0.132518
4,0.770143,0.765949,0.209691,0.703257,4145,1.114382,475,0.018947,0.058947,282,0.87484,0.869816,0.2512,0.664331,1427,1.295135,0.188103,1.209018,0.782308,17.451593,0.233604,0.097914,0.480116,2.197631,0.301639,1.0,0.125861,8.5,1.44864,0.144404,0.769231,0.235496,14.769231,0.167121,0.061795,0.56,0.407994,28.48,1.367147,0.244575,0.8,0.165065,18.057143,human_similarity,0.188103
5,0.662331,0.658169,0.208062,0.750302,4145,1.228512,515,0.015534,0.130097,350,0.863774,0.859028,0.237288,0.679748,1427,1.754445,0.257995,1.678248,0.874936,12.759954,0.17427,0.088564,0.562214,1.991429,0.222747,0.916667,0.104835,11.083333,2.262906,0.371984,0.923077,0.121282,6.230769,1.008143,0.087442,0.76,0.30783,20.44,1.755304,0.349806,0.9,0.163133,13.285714,human_similarity,0.257995
6,0.555371,0.551186,0.209252,0.788661,4145,1.018415,474,0.004219,0.111814,301,0.912527,0.907958,0.228481,0.679748,1427,1.74588,0.235387,1.725377,0.865705,12.61098,0.156858,0.095524,0.556495,1.919169,0.197088,0.916667,0.111285,12.416667,2.005826,0.260645,0.846154,0.137587,8.461538,1.247942,0.103866,0.8,0.218,17.28,1.810584,0.37995,0.9,0.160561,12.285714,human_similarity,0.235387
7,0.471517,0.467275,0.212089,0.831122,4145,0.860579,356,0.025281,0.095506,187,0.899121,0.894737,0.219185,0.688157,1427,2.039861,0.336854,1.904593,0.952143,9.615531,0.144051,0.089468,0.575069,2.350964,0.462811,1.0,0.100324,5.833333,2.35913,0.347023,1.0,0.102022,6.923077,1.595192,0.130847,0.88,0.198488,13.92,1.854158,0.406733,0.928571,0.175369,11.785714,human_similarity,0.336854
8,0.396377,0.392086,0.214568,0.861037,4145,0.795816,405,0.007407,0.069136,181,0.928946,0.924585,0.218053,0.688858,1427,1.90805,0.281854,1.863504,0.898507,10.924707,0.14091,0.082559,0.584528,2.019731,0.239326,0.916667,0.092674,10.333333,2.260455,0.327776,0.923077,0.102254,7.076923,1.436517,0.114882,0.84,0.206307,15.76,1.915497,0.445434,0.914286,0.162405,10.528571,human_similarity,0.281854
9,0.308056,0.303852,0.210222,0.893607,4145,1.295856,523,0.007648,0.118547,306,0.978603,0.973914,0.234489,0.68185,1427,1.966295,0.355101,1.917959,0.914881,9.688297,0.174146,0.073503,0.5959,1.974928,0.232857,0.916667,0.128226,10.5,2.489299,0.563952,1.0,0.12595,4.384615,1.421594,0.127346,0.8,0.264976,14.04,1.979361,0.49625,0.942857,0.17743,9.828571,human_similarity,0.355101
10,0.265477,0.261078,0.219937,0.910495,4145,0.548849,324,0.009259,0.070988,104,1.015719,1.011272,0.222355,0.694464,1427,1.934256,0.302211,1.858291,0.932143,10.366566,0.1708,0.091846,0.554346,2.254046,0.384253,1.0,0.11511,6.75,2.199972,0.276994,1.0,0.159361,8.307692,1.388084,0.117458,0.8,0.255134,15.28,1.894923,0.430139,0.928571,0.153596,11.128571,human_similarity,0.302211
