epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.742753,0.704635,0.619054,0.759387
2,0.585656,0.772668,0.578855,0.77461
3,0.550985,0.784677,0.563893,0.778602
4,0.529254,0.791794,0.55862,0.780233
5,0.512101,0.797731,0.557826,0.780309
6,0.494987,0.803656,0.559977,0.782042
7,0.478926,0.809342,0.56509,0.780016
8,0.462494,0.815063,0.571277,0.779648
9,0.445565,0.821849,0.581376,0.77701
10,0.429595,0.827791,0.596788,0.775119
11,0.41464,0.833144,0.602046,0.774355
12,0.400535,0.838899,0.616083,0.771782
13,0.38762,0.843874,0.628714,0.771934
14,0.377041,0.847974,0.641032,0.769978
15,0.367648,0.852093,0.652486,0.769106
16,0.35917,0.854776,0.666421,0.765947
17,0.353384,0.857135,0.676889,0.764913
18,0.348579,0.858423,0.686152,0.764517
19,0.3437,0.86038,0.691689,0.764663
20,0.340978,0.861598,0.699714,0.762686
21,0.339112,0.862094,0.703982,0.76287
22,0.336994,0.862673,0.707135,0.761819
23,0.337808,0.862151,0.71175,0.763434
24,0.334309,0.863377,0.714106,0.762524
25,0.335418,0.862752,0.718022,0.762507
26,0.335565,0.862216,0.721221,0.76196
27,0.336776,0.86185,0.720598,0.762155
28,0.338937,0.860697,0.720683,0.761305
29,0.337745,0.861068,0.722945,0.762778
30,0.341092,0.85991,0.722428,0.763174
31,0.344496,0.857908,0.7194,0.761473
32,0.344795,0.858158,0.716005,0.762182
33,0.344214,0.858277,0.719434,0.761819
34,0.348211,0.856391,0.715979,0.762367
35,0.350802,0.855631,0.713801,0.76202
36,0.351972,0.855293,0.713315,0.762448
37,0.356786,0.852876,0.710203,0.762778
38,0.360507,0.851322,0.708133,0.762453
39,0.361294,0.85126,0.705243,0.762675
40,0.366286,0.849307,0.701137,0.761976
41,0.367759,0.84856,0.69978,0.761158
42,0.371082,0.847664,0.697031,0.762659
43,0.374816,0.845985,0.691276,0.763542
44,0.378091,0.844856,0.69162,0.76325
45,0.384212,0.842166,0.684365,0.763455
46,0.388153,0.840912,0.680046,0.762903
47,0.391361,0.83968,0.674861,0.764555
48,0.393307,0.838899,0.677122,0.763423
49,0.399156,0.836649,0.670223,0.764273
50,0.405548,0.834412,0.666308,0.763683
