epoch,train_loss,train_behavior_loss,train_illegal_loss,train_relative_loss,train_next_pos_loss,train_collision_loss,train_distance_delta_loss,train_loop_loss,train_newly_seen_wall_loss,train_accuracy,train_steps,rollout_constraint_loss,rollout_constraint_steps,rollout_prevented_illegal_rate,rollout_constraint_revisit_rate,rollout_recovery_targets,val_loss,val_behavior_loss,val_illegal_loss,val_relative_loss,val_next_pos_loss,val_collision_loss,val_distance_delta_loss,val_loop_loss,val_newly_seen_wall_loss,val_accuracy,val_steps,rollout_score,human_similarity_score,trial_weighted_rollout_score,reached_goal_rate,mean_excess_steps,mean_hit_rate,mean_revisit_rate,mean_efficiency,task1_rollout_score,task1_human_similarity_score,task1_reached_goal_rate,task1_mean_hit_rate,task1_mean_excess_steps,task2_rollout_score,task2_human_similarity_score,task2_reached_goal_rate,task2_mean_hit_rate,task2_mean_excess_steps,task3_rollout_score,task3_human_similarity_score,task3_reached_goal_rate,task3_mean_hit_rate,task3_mean_excess_steps,task4_rollout_score,task4_human_similarity_score,task4_reached_goal_rate,task4_mean_hit_rate,task4_mean_excess_steps,selection_metric,selection_value
1,1.355087,1.108607,0.300431,1.2324,0.0,0.0,0.0,0.0,0.0,0.526681,4329,0.0,546,0.139194,0.190476,0,1.177737,0.945405,0.292298,1.161659,0.0,0.0,0.0,0.0,0.0,0.630617,1313,1.293759,0.174342,1.294259,0.822372,19.023782,0.188608,0.163628,0.436067,1.54138,0.099598,0.833333,0.172381,15.5,1.150201,0.143728,0.846154,0.193127,22.538462,1.184774,0.155079,0.75,0.20037,17.416667,1.298681,0.298965,0.86,0.188554,20.64,human_similarity,0.174342
2,1.130229,0.911283,0.236966,1.09473,0.0,0.0,0.0,0.0,0.0,0.636868,4329,0.0,486,0.117284,0.199588,0,1.041133,0.832336,0.274227,1.043983,0.0,0.0,0.0,0.0,0.0,0.66489,1313,1.616159,0.24128,1.604026,0.853205,13.982692,0.192868,0.109281,0.527236,1.932856,0.170465,0.833333,0.15447,9.0,1.443368,0.20095,0.846154,0.215936,16.230769,1.495483,0.184881,0.833333,0.194037,15.0,1.592928,0.408824,0.9,0.207029,15.7,human_similarity,0.24128
3,1.021805,0.824814,0.231436,0.984954,0.0,0.0,0.0,0.0,0.0,0.675445,4329,0.0,380,0.094737,0.157895,0,0.981178,0.792324,0.273207,0.944271,0.0,0.0,0.0,0.0,0.0,0.68393,1313,1.901615,0.330533,1.879678,0.9225,10.805321,0.190331,0.091554,0.569662,2.178356,0.235227,0.916667,0.165211,6.583333,1.970877,0.307858,1.0,0.210272,11.384615,1.607661,0.209935,0.833333,0.180716,13.333333,1.849567,0.56911,0.94,0.205127,11.92,human_similarity,0.330533
4,0.932672,0.755344,0.233101,0.886639,0.0,0.0,0.0,0.0,0.0,0.703858,4329,0.0,292,0.071918,0.10274,0,0.945221,0.768442,0.269123,0.883893,0.0,0.0,0.0,0.0,0.0,0.699162,1313,2.216296,0.507001,2.153501,0.979167,7.315833,0.174967,0.073849,0.646951,2.223047,0.236669,0.916667,0.132734,6.666667,2.197073,0.5246,1.0,0.212611,7.0,2.372027,0.54742,1.0,0.152948,5.916667,2.073036,0.719314,1.0,0.201576,9.68,human_similarity,0.507001
5,0.845655,0.683544,0.232742,0.810556,0.0,0.0,0.0,0.0,0.0,0.734581,4329,0.0,334,0.110778,0.143713,0,0.932528,0.764287,0.261458,0.841205,0.0,0.0,0.0,0.0,0.0,0.710586,1313,2.185731,0.451804,2.099078,0.969167,7.984295,0.166527,0.074579,0.64998,2.3055,0.290581,0.916667,0.128704,5.416667,2.103543,0.393077,1.0,0.190832,9.153846,2.344375,0.444918,1.0,0.145428,7.166667,1.989505,0.678641,0.96,0.201144,10.2,human_similarity,0.451804
6,0.766243,0.616549,0.233936,0.748466,0.0,0.0,0.0,0.0,0.0,0.760453,4329,0.0,334,0.065868,0.128743,0,0.979691,0.81118,0.246141,0.842556,0.0,0.0,0.0,0.0,0.0,0.701447,1313,2.080037,0.431861,2.069616,0.974167,10.237436,0.169802,0.074342,0.604406,1.941457,0.125257,0.916667,0.134315,12.583333,2.326855,0.659727,1.0,0.179147,5.923077,2.002151,0.234712,1.0,0.172077,12.583333,2.049684,0.707748,0.98,0.193671,9.86,human_similarity,0.431861
7,0.674006,0.536542,0.239439,0.687317,0.0,0.0,0.0,0.0,0.0,0.790483,4329,0.0,398,0.075377,0.128141,0,1.021118,0.852833,0.246079,0.841428,0.0,0.0,0.0,0.0,0.0,0.696877,1313,1.821666,0.317194,1.88372,0.885833,12.217372,0.149386,0.119058,0.583653,1.560325,0.113432,0.75,0.109471,13.5,2.024727,0.299645,1.0,0.193167,11.846154,1.743221,0.227145,0.833333,0.114217,12.583333,1.958393,0.628556,0.96,0.18069,10.94,human_similarity,0.317194
8,0.590144,0.466445,0.240401,0.618494,0.0,0.0,0.0,0.0,0.0,0.824671,4329,0.0,325,0.073846,0.095385,0,1.069644,0.896407,0.263632,0.866185,0.0,0.0,0.0,0.0,0.0,0.70297,1313,2.106657,0.392225,2.092241,1.0,10.200449,0.180654,0.095729,0.595485,2.338386,0.238387,1.0,0.13817,6.75,2.141304,0.425432,1.0,0.209867,8.538462,1.874198,0.185495,1.0,0.169355,15.833333,2.07274,0.719586,1.0,0.205222,9.68,human_similarity,0.392225
9,0.507252,0.396492,0.245895,0.5538,0.0,0.0,0.0,0.0,0.0,0.855856,4329,0.0,415,0.086747,0.118072,0,1.118531,0.950899,0.256254,0.838159,0.0,0.0,0.0,0.0,0.0,0.691546,1313,2.113853,0.391174,2.040358,0.980769,9.423462,0.180724,0.091321,0.616126,2.499466,0.351417,1.0,0.124363,4.666667,1.944228,0.338494,0.923077,0.204555,10.153846,2.061667,0.276674,1.0,0.192851,10.833333,1.950052,0.598111,1.0,0.201128,12.04,human_similarity,0.391174
10,0.447111,0.349377,0.251084,0.488669,0.0,0.0,0.0,0.0,0.0,0.865327,4329,0.0,393,0.05598,0.147583,0,1.16329,0.988535,0.236593,0.873772,0.0,0.0,0.0,0.0,0.0,0.709063,1313,2.19533,0.503967,2.069607,0.970769,8.163462,0.150417,0.083806,0.652551,2.659167,0.66841,1.0,0.093386,2.583333,1.990767,0.313469,0.923077,0.163725,11.153846,2.21851,0.395787,1.0,0.150455,7.916667,1.912875,0.638201,0.96,0.194102,11.0,human_similarity,0.503967
11,0.372804,0.285611,0.250015,0.435966,0.0,0.0,0.0,0.0,0.0,0.894664,4329,0.0,441,0.049887,0.201814,0,1.200282,1.017955,0.24255,0.911637,0.0,0.0,0.0,0.0,0.0,0.710586,1313,1.957372,0.432569,1.909126,0.925705,11.416026,0.153518,0.100846,0.611595,2.696228,0.761615,1.0,0.075989,2.333333,1.408028,0.17109,0.846154,0.187835,19.230769,1.863861,0.241936,0.916667,0.162989,12.0,1.86137,0.555634,0.94,0.187261,12.1,human_similarity,0.432569
12,0.301341,0.225667,0.255035,0.37837,0.0,0.0,0.0,0.0,0.0,0.921922,4329,0.0,378,0.047619,0.148148,0,1.220454,1.033915,0.237734,0.932694,0.0,0.0,0.0,0.0,0.0,0.722011,1313,2.227301,0.536607,2.119754,0.99,8.280064,0.15581,0.083589,0.653787,2.714697,0.830695,1.0,0.084295,1.833333,2.145343,0.401302,1.0,0.182934,9.076923,2.065932,0.256094,1.0,0.169104,11.75,1.983232,0.658336,0.96,0.186908,10.46,human_similarity,0.536607
13,0.224977,0.164316,0.253453,0.303305,0.0,0.0,0.0,0.0,0.0,0.945022,4329,0.0,398,0.085427,0.170854,0,1.310556,1.118576,0.255048,0.959902,0.0,0.0,0.0,0.0,0.0,0.699162,1313,1.944246,0.383726,1.879437,0.939936,11.070256,0.190479,0.104375,0.590615,2.599683,0.558913,1.0,0.123545,3.0,1.62599,0.205357,0.923077,0.229274,16.307692,1.747069,0.220994,0.916667,0.213694,12.833333,1.804242,0.54964,0.92,0.195402,12.14,human_similarity,0.383726
14,0.181446,0.130725,0.256535,0.253608,0.0,0.0,0.0,0.0,0.0,0.957265,4329,0.0,306,0.052288,0.071895,0,1.360361,1.156805,0.245122,1.017776,0.0,0.0,0.0,0.0,0.0,0.70297,1313,2.073426,0.460429,2.044496,0.929103,9.076795,0.15474,0.078072,0.642546,2.795556,0.658818,1.0,0.058201,1.333333,1.805608,0.258801,0.923077,0.199802,13.153846,1.678301,0.232538,0.833333,0.183418,12.0,2.01424,0.691561,0.96,0.177541,9.82,human_similarity,0.460429
15,0.146746,0.103599,0.257903,0.215733,0.0,0.0,0.0,0.0,0.0,0.968584,4329,0.0,284,0.035211,0.098592,0,1.365996,1.163215,0.246588,1.013907,0.0,0.0,0.0,0.0,0.0,0.712871,1313,2.1608,0.492098,2.060924,0.969167,8.37641,0.169172,0.07833,0.640429,2.698958,0.647574,1.0,0.067113,2.75,2.221972,0.476933,1.0,0.205182,7.692308,1.791741,0.245317,0.916667,0.216889,11.583333,1.930528,0.598568,0.96,0.187505,11.48,human_similarity,0.492098
16,0.113894,0.079101,0.257846,0.173961,0.0,0.0,0.0,0.0,0.0,0.976207,4329,0.0,448,0.037946,0.162946,0,1.434747,1.227,0.241901,1.038736,0.0,0.0,0.0,0.0,0.0,0.70297,1313,2.193423,0.457761,2.151127,0.979167,8.586282,0.153618,0.073405,0.644934,2.64993,0.410139,1.0,0.062287,4.166667,2.267292,0.491356,1.0,0.185037,7.538462,1.761825,0.220357,0.916667,0.182366,13.0,2.094644,0.709191,1.0,0.184784,9.64,human_similarity,0.457761
