epoch,train_loss,train_behavior_loss,train_illegal_loss,train_relative_loss,train_next_pos_loss,train_collision_loss,train_distance_delta_loss,train_loop_loss,train_newly_seen_wall_loss,train_accuracy,train_steps,rollout_constraint_loss,rollout_constraint_steps,rollout_prevented_illegal_rate,rollout_constraint_revisit_rate,rollout_recovery_targets,val_loss,val_behavior_loss,val_illegal_loss,val_relative_loss,val_next_pos_loss,val_collision_loss,val_distance_delta_loss,val_loop_loss,val_newly_seen_wall_loss,val_accuracy,val_steps,rollout_score,human_similarity_score,trial_weighted_rollout_score,reached_goal_rate,mean_excess_steps,mean_hit_rate,mean_revisit_rate,mean_efficiency,task1_rollout_score,task1_human_similarity_score,task1_reached_goal_rate,task1_mean_hit_rate,task1_mean_excess_steps,task2_rollout_score,task2_human_similarity_score,task2_reached_goal_rate,task2_mean_hit_rate,task2_mean_excess_steps,task3_rollout_score,task3_human_similarity_score,task3_reached_goal_rate,task3_mean_hit_rate,task3_mean_excess_steps,task4_rollout_score,task4_human_similarity_score,task4_reached_goal_rate,task4_mean_hit_rate,task4_mean_excess_steps,selection_metric,selection_value
1,1.82465,1.116485,0.297988,1.226267,3.306046,0.606352,0.600478,0.633425,0.199545,0.523216,4329,0.0,517,0.143133,0.17795,0,1.579853,0.949538,0.293166,1.142112,2.83527,0.55785,0.546865,0.602167,0.102597,0.621478,1313,1.071078,0.160486,1.100944,0.759679,21.071474,0.180954,0.200999,0.409026,1.572894,0.105549,0.833333,0.167694,14.583333,0.317253,0.101195,0.615385,0.187488,30.769231,1.234869,0.164933,0.75,0.18483,16.333333,1.159294,0.270268,0.84,0.183804,22.6,human_similarity,0.160486
2,1.47046,0.914828,0.236436,1.088118,2.248119,0.552875,0.529613,0.556946,0.071619,0.636637,4329,0.0,478,0.123431,0.200837,0,1.357137,0.841055,0.278412,1.0183,2.026304,0.528038,0.515666,0.552976,0.071112,0.665651,1313,1.83592,0.322428,1.890225,0.918269,12.023718,0.19392,0.093603,0.55267,2.211423,0.24512,0.916667,0.160168,6.333333,1.671683,0.217624,0.923077,0.209844,15.461538,1.496001,0.184914,0.833333,0.193914,15.0,1.964572,0.642055,1.0,0.211754,11.3,human_similarity,0.322428
3,1.294297,0.829851,0.230908,0.982168,1.619803,0.528463,0.500723,0.523068,0.039927,0.669208,4329,0.0,416,0.100962,0.170673,0,1.249276,0.803889,0.282928,0.930909,1.544958,0.50538,0.493577,0.525631,0.064211,0.680883,1313,1.858358,0.297183,1.860326,0.934103,12.27359,0.189483,0.107997,0.553146,2.105436,0.181122,0.916667,0.153963,8.666667,1.651503,0.218593,0.923077,0.217787,15.307692,1.808185,0.230044,0.916667,0.184515,12.5,1.868308,0.558974,0.98,0.201667,12.62,human_similarity,0.297183
4,1.167956,0.760697,0.230211,0.89377,1.265377,0.512215,0.478281,0.502036,0.034611,0.700855,4329,0.0,300,0.093333,0.09,0,1.185401,0.781169,0.278524,0.875325,1.279276,0.493142,0.471113,0.509251,0.058147,0.6885,1313,2.218267,0.477257,2.162974,1.0,7.477564,0.188753,0.066802,0.620318,2.370682,0.258335,1.0,0.132737,6.25,2.08797,0.436959,1.0,0.230871,8.076923,2.319313,0.515949,1.0,0.187708,6.083333,2.095104,0.697784,1.0,0.203697,9.5,human_similarity,0.477257
5,1.061492,0.693725,0.228351,0.817848,1.047947,0.503659,0.454196,0.492559,0.03399,0.730192,4329,0.0,364,0.085165,0.142857,0,1.159259,0.777492,0.267625,0.844003,1.139336,0.480651,0.4595,0.498787,0.061064,0.694593,1313,2.230884,0.488748,2.168283,0.979167,7.388333,0.174915,0.06755,0.661153,2.338549,0.294521,0.916667,0.105538,5.416667,2.19138,0.453241,1.0,0.20685,8.0,2.305009,0.489526,1.0,0.183182,6.416667,2.0886,0.717703,1.0,0.204091,9.72,human_similarity,0.488748
6,0.963017,0.62559,0.230801,0.748916,0.90972,0.495422,0.429514,0.48241,0.030673,0.759298,4329,0.0,272,0.055147,0.106618,0,1.15686,0.787837,0.250928,0.824896,1.056261,0.474153,0.45922,0.495133,0.065688,0.703732,1313,2.360734,0.490904,2.342057,1.0,5.812885,0.162696,0.063192,0.690554,2.564405,0.409341,1.0,0.103986,4.083333,2.337368,0.71713,1.0,0.185315,5.461538,2.222576,0.379723,1.0,0.173935,8.166667,2.318588,0.457423,1.0,0.187546,5.54,human_similarity,0.490904
7,0.863014,0.552994,0.235195,0.684029,0.811047,0.46954,0.412208,0.460573,0.030321,0.791869,4329,0.0,402,0.062189,0.121891,0,1.186577,0.818789,0.24602,0.85742,1.009394,0.453576,0.456065,0.481354,0.062727,0.708302,1313,2.208816,0.492149,2.151348,0.995,8.405705,0.164332,0.07444,0.632229,2.45803,0.298038,1.0,0.103991,5.5,2.384195,0.829038,1.0,0.186552,4.846154,1.92041,0.204996,1.0,0.168463,14.416667,2.07263,0.636526,0.98,0.198321,8.86,human_similarity,0.492149
8,0.785115,0.498996,0.232678,0.638086,0.722514,0.435394,0.400462,0.428515,0.025247,0.812197,4329,0.0,384,0.078125,0.151042,0,1.322957,0.937088,0.270229,0.915896,1.062625,0.459186,0.458342,0.48401,0.067809,0.674029,1313,1.682075,0.214084,1.618703,0.919103,16.106346,0.173412,0.132613,0.518835,1.876761,0.116568,0.916667,0.137338,13.5,1.660448,0.215215,0.923077,0.216857,15.615385,1.653533,0.165959,0.916667,0.147765,17.25,1.537557,0.358594,0.92,0.191688,18.06,human_similarity,0.214084
9,0.687018,0.424355,0.241774,0.579278,0.649153,0.409015,0.383175,0.413244,0.023375,0.838069,4329,0.0,414,0.077295,0.118357,0,1.249889,0.884859,0.260473,0.854986,0.995104,0.448975,0.454314,0.473407,0.064793,0.71211,1313,2.198215,0.476139,2.109693,0.99,8.140256,0.171644,0.070838,0.628073,2.544653,0.43321,1.0,0.116286,3.833333,2.27468,0.514477,1.0,0.165132,7.307692,1.979994,0.255429,1.0,0.206258,11.5,1.993534,0.701441,0.96,0.198898,9.92,human_similarity,0.476139
10,0.613521,0.371909,0.244794,0.521296,0.582589,0.392382,0.36516,0.405446,0.026513,0.859783,4329,0.0,439,0.072893,0.159453,0,1.258403,0.896481,0.2458,0.860443,0.955834,0.441822,0.46464,0.472628,0.064084,0.710586,1313,2.198473,0.445592,2.190859,0.979167,7.826474,0.162723,0.082191,0.637988,2.617177,0.599757,1.0,0.114156,2.833333,2.06528,0.332397,1.0,0.178981,10.769231,1.926887,0.28877,0.916667,0.175957,10.083333,2.184547,0.561443,1.0,0.181796,7.62,human_similarity,0.445592
