epoch,train_loss,train_behavior_loss,train_illegal_loss,train_relative_loss,train_next_pos_loss,train_collision_loss,train_distance_delta_loss,train_loop_loss,train_newly_seen_wall_loss,train_accuracy,train_steps,rollout_constraint_loss,rollout_constraint_steps,rollout_prevented_illegal_rate,rollout_constraint_revisit_rate,rollout_recovery_targets,val_loss,val_behavior_loss,val_illegal_loss,val_relative_loss,val_next_pos_loss,val_collision_loss,val_distance_delta_loss,val_loop_loss,val_newly_seen_wall_loss,val_accuracy,val_steps,rollout_score,human_similarity_score,trial_weighted_rollout_score,reached_goal_rate,mean_excess_steps,mean_hit_rate,mean_revisit_rate,mean_efficiency,task1_rollout_score,task1_human_similarity_score,task1_reached_goal_rate,task1_mean_hit_rate,task1_mean_excess_steps,task2_rollout_score,task2_human_similarity_score,task2_reached_goal_rate,task2_mean_hit_rate,task2_mean_excess_steps,task3_rollout_score,task3_human_similarity_score,task3_reached_goal_rate,task3_mean_hit_rate,task3_mean_excess_steps,task4_rollout_score,task4_human_similarity_score,task4_reached_goal_rate,task4_mean_hit_rate,task4_mean_excess_steps,selection_metric,selection_value
1,1.825577,1.117742,0.297139,1.225827,3.30497,0.604702,0.601597,0.632037,0.20042,0.523447,4329,0.0,405,0.212346,0.2,0,1.577588,0.948606,0.289895,1.13991,2.831724,0.55663,0.547976,0.600315,0.095003,0.622239,1313,1.59468,0.211641,1.65701,0.833974,16.590769,0.0245,0.192892,0.521211,1.836971,0.119894,0.833333,0.035973,13.083333,1.015531,0.133628,0.769231,0.012658,23.923077,1.773594,0.223298,0.833333,0.041985,12.916667,1.752624,0.369744,0.9,0.007384,16.44,human_similarity,0.211641
2,1.471972,0.916341,0.234936,1.088501,2.248447,0.551532,0.53041,0.554517,0.073736,0.636868,4329,0.0,490,0.208163,0.189796,0,1.353119,0.838752,0.274989,1.016589,2.020658,0.525703,0.515499,0.550299,0.062471,0.658035,1313,2.271981,0.382074,2.220623,0.995,9.707692,0.019493,0.094368,0.626553,2.56787,0.35256,1.0,0.034259,4.75,2.289214,0.412587,1.0,0.00777,9.230769,2.076898,0.230304,1.0,0.030556,13.25,2.153944,0.532844,0.98,0.005385,11.6,human_similarity,0.382074
3,1.296031,0.831768,0.22946,0.982188,1.620399,0.526083,0.499816,0.520841,0.042883,0.669901,4329,0.0,384,0.203125,0.184896,0,1.245524,0.802174,0.280947,0.930189,1.534828,0.50266,0.492587,0.524239,0.054445,0.685453,1313,2.236152,0.394366,2.250392,0.959936,9.241538,0.034122,0.086643,0.655481,2.349755,0.26552,0.916667,0.057106,6.083333,1.957447,0.253534,0.923077,0.014292,13.846154,2.361316,0.443484,1.0,0.045928,7.416667,2.276089,0.614926,1.0,0.019162,9.62,human_similarity,0.394366
4,1.172716,0.765182,0.22849,0.896366,1.265532,0.509715,0.478362,0.499975,0.036381,0.697621,4329,0.0,321,0.221184,0.149533,0,1.185451,0.78249,0.277976,0.876318,1.274548,0.489819,0.471301,0.507973,0.045938,0.690023,1313,2.280477,0.390685,2.267921,0.943333,8.208462,0.038715,0.076875,0.701787,2.353924,0.242737,0.916667,0.055261,6.666667,2.361488,0.425239,1.0,0.024328,9.153846,2.156901,0.368418,0.916667,0.047636,8.333333,2.249598,0.526346,0.94,0.027635,8.68,human_similarity,0.390685
5,1.070431,0.701756,0.22548,0.822705,1.050397,0.500788,0.455173,0.489301,0.035839,0.727651,4329,0.0,324,0.212963,0.151235,0,1.157785,0.776937,0.266673,0.846409,1.135037,0.476927,0.46263,0.496665,0.048108,0.690023,1313,2.49082,0.556755,2.446024,1.0,6.089167,0.037448,0.068003,0.730655,2.825299,0.623052,1.0,0.032336,1.166667,2.238173,0.343049,1.0,0.032015,11.0,2.504899,0.763947,1.0,0.056058,4.75,2.394909,0.496973,1.0,0.029383,7.44,human_similarity,0.556755
6,0.967649,0.629573,0.229707,0.753833,0.913016,0.489745,0.431947,0.476921,0.031804,0.759529,4329,0.0,261,0.172414,0.091954,0,1.150709,0.783995,0.253329,0.826105,1.040621,0.470796,0.459524,0.490901,0.056588,0.696877,1313,2.470487,0.520421,2.412303,0.995,6.55,0.033615,0.074472,0.733668,2.778716,0.714769,1.0,0.012133,2.5,2.662886,0.599578,1.0,0.027015,3.0,2.108131,0.244766,1.0,0.0613,12.5,2.332214,0.522571,0.98,0.034014,8.2,human_similarity,0.520421
7,0.863143,0.552503,0.231841,0.687844,0.812787,0.468572,0.410231,0.456926,0.03155,0.789328,4329,0.0,358,0.175978,0.159218,0,1.178662,0.81124,0.255433,0.861361,1.009567,0.452925,0.451699,0.476865,0.049439,0.699162,1313,2.181633,0.316564,2.307793,0.9375,9.664295,0.046134,0.094026,0.67108,2.272056,0.23394,0.833333,0.018333,6.75,2.258546,0.422827,1.0,0.061535,9.153846,1.727485,0.172794,0.916667,0.067403,16.833333,2.468448,0.436694,1.0,0.037266,5.92,human_similarity,0.316564
8,0.78017,0.495662,0.23373,0.632771,0.721904,0.433118,0.400039,0.424553,0.024435,0.811735,4329,0.0,295,0.186441,0.118644,0,1.339134,0.949708,0.279091,0.926466,1.08689,0.462701,0.449672,0.485867,0.047929,0.665651,1313,2.079821,0.340221,2.086632,0.924103,10.667436,0.059168,0.107739,0.642069,2.133027,0.187471,0.833333,0.026957,8.416667,1.804156,0.231258,0.923077,0.092346,14.923077,2.279435,0.365574,1.0,0.059064,8.75,2.102668,0.576581,0.94,0.058304,10.58,human_similarity,0.340221
9,0.699229,0.434376,0.240587,0.588002,0.653374,0.408383,0.383124,0.412469,0.025959,0.833911,4329,0.0,310,0.158065,0.109677,0,1.233365,0.864688,0.265621,0.873635,0.989477,0.452731,0.445196,0.488226,0.061172,0.703732,1313,2.525181,0.519611,2.492579,1.0,4.931667,0.061656,0.057988,0.745651,2.880873,0.569421,1.0,0.011905,1.0,2.350901,0.497196,1.0,0.068906,8.0,2.413824,0.593391,1.0,0.09323,5.666667,2.455126,0.418437,1.0,0.072582,5.06,human_similarity,0.519611
10,0.62654,0.380979,0.245055,0.534737,0.591762,0.397389,0.363103,0.405516,0.025347,0.857935,4329,0.0,312,0.144231,0.105769,0,1.239953,0.875634,0.25451,0.873427,0.94339,0.452516,0.457314,0.476827,0.066712,0.706017,1313,2.397237,0.522326,2.333336,0.969167,6.645449,0.038868,0.084514,0.723167,2.843968,0.615842,1.0,0.0,1.166667,2.480206,0.643614,1.0,0.026543,6.538462,2.016023,0.288228,0.916667,0.062313,10.416667,2.248753,0.541622,0.96,0.066614,8.46,human_similarity,0.522326
